Market,Date,Variety,Grade,Arrivals,Unit,Min,Max,Modal,District
DODDABALLAPUR,28/02/2003,ONION,FAQ,30,Quintal,450,550,500,Bengaluru Rural
DODDABALLAPUR,04/03/2003,ONION,FAQ,150,Quintal,450,550,500,Bengaluru Rural
DODDABALLAPUR,17/03/2003,ONION,FAQ,10,Quintal,450,550,500,Bengaluru Rural
DODDABALLAPUR,22/03/2003,ONION,FAQ,15,Quintal,400,550,500,Bengaluru Rural
DODDABALLAPUR,29/03/2003,ONION,FAQ,10,Quintal,450,550,500,Bengaluru Rural
DODDABALLAPUR,05/04/2003,ONION,FAQ,25,Quintal,450,550,500,Bengaluru Rural
DODDABALLAPUR,22/04/2003,ONION,FAQ,20,Quintal,450,550,500,Bengaluru Rural
DODDABALLAPUR,24/04/2003,ONION,FAQ,15,Quintal,450,550,500,Bengaluru Rural
DODDABALLAPUR,28/05/2003,ONION,FAQ,10,Quintal,450,550,500,Bengaluru Rural
DODDABALLAPUR,30/06/2003,ONION,FAQ,40,Quintal,600,750,650,Bengaluru Rural
DODDABALLAPUR,02/07/2003,ONION,FAQ,40,Quintal,550,650,600,Bengaluru Rural
DODDABALLAPUR,09/07/2003,ONION,FAQ,8,Quintal,600,700,650,Bengaluru Rural
DODDABALLAPUR,17/07/2003,ONION,FAQ,15,Quintal,600,650,625,Bengaluru Rural
DODDABALLAPUR,29/10/2003,ONION,FAQ,50,Quintal,200,500,450,Bengaluru Rural
DODDABALLAPUR,06/11/2003,ONION,FAQ,100,Quintal,200,350,250,Bengaluru Rural
DODDABALLAPUR,01/12/2003,ONION,FAQ,45,Quintal,250,550,500,Bengaluru Rural
DODDABALLAPUR,23/12/2003,ONION,FAQ,10,Quintal,350,500,400,Bengaluru Rural
DODDABALLAPUR,30/01/2004,ONION,FAQ,11,Quintal,900,1000,950,Bengaluru Rural
DODDABALLAPUR,07/05/2004,ONION,FAQ,45,Quintal,450,550,500,Bengaluru Rural
DODDABALLAPUR,11/05/2004,ONION,FAQ,45,Quintal,500,550,525,Bengaluru Rural
DODDABALLAPUR,10/06/2004,ONION,FAQ,45,Quintal,450,550,500,Bengaluru Rural
DODDABALLAPUR,17/06/2004,ONION,FAQ,26,Quintal,450,550,500,Bengaluru Rural
DODDABALLAPUR,23/06/2004,ONION,FAQ,10,Quintal,475,600,500,Bengaluru Rural
DODDABALLAPUR,28/06/2004,ONION,FAQ,10,Quintal,450,550,500,Bengaluru Rural
DODDABALLAPUR,02/07/2004,ONION,FAQ,30,Quintal,475,600,500,Bengaluru Rural
DODDABALLAPUR,08/07/2004,ONION,FAQ,45,Quintal,450,550,500,Bengaluru Rural
DODDABALLAPUR,13/07/2004,ONION,FAQ,46,Quintal,475,550,500,Bengaluru Rural
DODDABALLAPUR,16/07/2004,ONION,FAQ,20,Quintal,450,550,500,Bengaluru Rural
DODDABALLAPUR,30/08/2004,BANGALORE SMALL,FAQ,45,Quintal,450,550,500,Bengaluru Rural
DODDABALLAPUR,26/08/2004,ONION,FAQ,30,Quintal,450,550,500,Bengaluru Rural
DODDABALLAPUR,27/08/2004,ONION,FAQ,35,Quintal,450,550,500,Bengaluru Rural
DODDABALLAPUR,03/09/2004,BANGALORE SMALL,FAQ,31,Quintal,475,550,500,Bengaluru Rural
DODDABALLAPUR,13/09/2004,BANGALORE SMALL,FAQ,20,Quintal,450,550,500,Bengaluru Rural
DODDABALLAPUR,17/09/2004,BANGALORE SMALL,FAQ,20,Quintal,475,575,500,Bengaluru Rural
DODDABALLAPUR,29/09/2004,BANGALORE SMALL,FAQ,40,Quintal,450,550,500,Bengaluru Rural
DODDABALLAPUR,11/10/2004,BANGALORE SMALL,FAQ,40,Quintal,450,550,500,Bengaluru Rural
DODDABALLAPUR,12/10/2004,BANGALORE SMALL,FAQ,75,Quintal,450,550,500,Bengaluru Rural
DODDABALLAPUR,15/10/2004,BANGALORE SMALL,FAQ,10,Quintal,475,550,500,Bengaluru Rural
DODDABALLAPUR,21/10/2004,BANGALORE SMALL,FAQ,30,Quintal,475,550,500,Bengaluru Rural
DODDABALLAPUR,26/10/2004,BANGALORE SMALL,FAQ,20,Quintal,450,550,500,Bengaluru Rural
DODDABALLAPUR,02/11/2004,BANGALORE SMALL,FAQ,56,Quintal,450,550,500,Bengaluru Rural
DODDABALLAPUR,05/11/2004,BANGALORE SMALL,FAQ,10,Quintal,450,550,500,Bengaluru Rural
DODDABALLAPUR,19/11/2004,BANGALORE SMALL,FAQ,36,Quintal,450,525,500,Bengaluru Rural
DODDABALLAPUR,17/12/2004,BANGALORE SMALL,FAQ,50,Quintal,475,550,500,Bengaluru Rural
DODDABALLAPUR,21/12/2004,BANGALORE SMALL,FAQ,50,Quintal,475,550,500,Bengaluru Rural
DODDABALLAPUR,29/12/2004,BANGALORE SMALL,FAQ,95,Quintal,450,550,500,Bengaluru Rural
DODDABALLAPUR,07/01/2005,BANGALORE SMALL,FAQ,120,Quintal,450,525,500,Bengaluru Rural
DODDABALLAPUR,13/01/2005,BANGALORE SMALL,FAQ,40,Quintal,450,550,500,Bengaluru Rural
