Market,Date,Variety,Grade,Arrivals,Unit,Min,Max,Modal,District
HUBBALLI,15/02/2002,ONION,FAQ,500,Quintal,50,150,280,Dharwad
HUBBALLI,15/02/2002,PUNA,FAQ,800,Quintal,150,350,290,Dharwad
HUBBALLI,15/02/2002,TELAGI,FAQ,900,Quintal,250,500,300,Dharwad
HUBBALLI,27/03/2002,PUNA,FAQ,1200,Quintal,100,230,200,Dharwad
HUBBALLI,28/03/2002,PUNA,FAQ,800,Quintal,100,230,200,Dharwad
HUBBALLI,30/03/2002,PUNA,FAQ,2000,Quintal,100,260,200,Dharwad
HUBBALLI,27/03/2002,TELAGI,FAQ,300,Quintal,50,150,120,Dharwad
HUBBALLI,28/03/2002,TELAGI,FAQ,400,Quintal,50,180,150,Dharwad
HUBBALLI,30/03/2002,TELAGI,FAQ,800,Quintal,50,200,180,Dharwad
HUBBALLI,02/04/2002,PUNA,FAQ,1800,Quintal,100,260,200,Dharwad
HUBBALLI,03/04/2002,PUNA,FAQ,1000,Quintal,100,250,200,Dharwad
HUBBALLI,04/04/2002,PUNA,FAQ,1000,Quintal,100,270,220,Dharwad
HUBBALLI,05/04/2002,PUNA,FAQ,1200,Quintal,100,280,230,Dharwad
HUBBALLI,06/04/2002,PUNA,FAQ,1500,Quintal,150,280,200,Dharwad
HUBBALLI,08/04/2002,PUNA,FAQ,1000,Quintal,150,270,200,Dharwad
HUBBALLI,09/04/2002,PUNA,FAQ,800,Quintal,150,280,200,Dharwad
HUBBALLI,10/04/2002,PUNA,FAQ,1800,Quintal,100,260,200,Dharwad
HUBBALLI,11/04/2002,PUNA,FAQ,1000,Quintal,100,260,200,Dharwad
HUBBALLI,15/04/2002,PUNA,FAQ,1200,Quintal,100,230,180,Dharwad
HUBBALLI,16/04/2002,PUNA,FAQ,500,Quintal,100,230,180,Dharwad
HUBBALLI,17/04/2002,PUNA,FAQ,1200,Quintal,100,220,180,Dharwad
HUBBALLI,18/04/2002,PUNA,FAQ,1800,Quintal,50,250,200,Dharwad
HUBBALLI,19/04/2002,PUNA,FAQ,1000,Quintal,150,230,180,Dharwad
HUBBALLI,20/04/2002,PUNA,FAQ,1500,Quintal,150,250,180,Dharwad
HUBBALLI,22/04/2002,PUNA,FAQ,1000,Quintal,100,220,200,Dharwad
HUBBALLI,23/04/2002,PUNA,FAQ,1000,Quintal,50,250,200,Dharwad
HUBBALLI,26/04/2002,PUNA,FAQ,900,Quintal,100,230,190,Dharwad
HUBBALLI,27/04/2002,PUNA,FAQ,2200,Quintal,100,230,200,Dharwad
HUBBALLI,29/04/2002,PUNA,FAQ,1000,Quintal,100,270,200,Dharwad
HUBBALLI,02/04/2002,TELAGI,FAQ,1000,Quintal,50,200,180,Dharwad
HUBBALLI,03/04/2002,TELAGI,FAQ,600,Quintal,50,200,180,Dharwad
HUBBALLI,04/04/2002,TELAGI,FAQ,500,Quintal,50,210,180,Dharwad
HUBBALLI,05/04/2002,TELAGI,FAQ,600,Quintal,50,200,180,Dharwad
HUBBALLI,06/04/2002,TELAGI,FAQ,1000,Quintal,100,200,180,Dharwad
HUBBALLI,08/04/2002,TELAGI,FAQ,800,Quintal,100,230,200,Dharwad
HUBBALLI,09/04/2002,TELAGI,FAQ,500,Quintal,50,200,180,Dharwad
HUBBALLI,10/04/2002,TELAGI,FAQ,1000,Quintal,50,230,200,Dharwad
HUBBALLI,11/04/2002,TELAGI,FAQ,800,Quintal,50,150,100,Dharwad
HUBBALLI,15/04/2002,TELAGI,FAQ,400,Quintal,50,170,120,Dharwad
HUBBALLI,16/04/2002,TELAGI,FAQ,400,Quintal,50,150,100,Dharwad
HUBBALLI,17/04/2002,TELAGI,FAQ,600,Quintal,50,170,120,Dharwad
HUBBALLI,18/04/2002,TELAGI,FAQ,800,Quintal,50,200,180,Dharwad
HUBBALLI,19/04/2002,TELAGI,FAQ,600,Quintal,50,150,130,Dharwad
HUBBALLI,20/04/2002,TELAGI,FAQ,600,Quintal,50,180,150,Dharwad
HUBBALLI,22/04/2002,TELAGI,FAQ,600,Quintal,50,180,150,Dharwad
HUBBALLI,23/04/2002,TELAGI,FAQ,500,Quintal,50,200,180,Dharwad
HUBBALLI,26/04/2002,TELAGI,FAQ,500,Quintal,50,180,150,Dharwad
HUBBALLI,27/04/2002,TELAGI,FAQ,1500,Quintal,50,180,150,Dharwad
HUBBALLI,29/04/2002,TELAGI,FAQ,800,Quintal,50,180,150,Dharwad
HUBBALLI,02/05/2002,PUNA,FAQ,1500,Quintal,100,280,200,Dharwad
HUBBALLI,03/05/2002,PUNA,FAQ,1000,Quintal,100,280,200,Dharwad
HUBBALLI,06/05/2002,PUNA,FAQ,800,Quintal,100,270,200,Dharwad
HUBBALLI,07/05/2002,PUNA,FAQ,1100,Quintal,150,270,200,Dharwad
HUBBALLI,08/05/2002,PUNA,FAQ,1500,Quintal,100,260,200,Dharwad
HUBBALLI,09/05/2002,PUNA,FAQ,1000,Quintal,150,260,200,Dharwad
HUBBALLI,10/05/2002,PUNA,FAQ,1200,Quintal,100,250,200,Dharwad
HUBBALLI,11/05/2002,PUNA,FAQ,2500,Quintal,50,250,200,Dharwad
HUBBALLI,13/05/2002,PUNA,FAQ,1300,Quintal,100,250,200,Dharwad
HUBBALLI,15/05/2002,PUNA,FAQ,1000,Quintal,100,250,200,Dharwad
HUBBALLI,16/05/2002,PUNA,FAQ,1200,Quintal,100,250,200,Dharwad
HUBBALLI,17/05/2002,PUNA,FAQ,1000,Quintal,100,270,210,Dharwad
HUBBALLI,18/05/2002,PUNA,FAQ,2000,Quintal,100,270,210,Dharwad
HUBBALLI,20/05/2002,PUNA,FAQ,600,Quintal,100,270,210,Dharwad
HUBBALLI,21/05/2002,PUNA,FAQ,600,Quintal,100,320,240,Dharwad
HUBBALLI,22/05/2002,PUNA,FAQ,800,Quintal,50,280,220,Dharwad
HUBBALLI,23/05/2002,PUNA,FAQ,500,Quintal,100,270,200,Dharwad
HUBBALLI,27/05/2002,PUNA,FAQ,1200,Quintal,100,300,230,Dharwad
HUBBALLI,28/05/2002,PUNA,FAQ,1000,Quintal,100,280,230,Dharwad
HUBBALLI,29/05/2002,PUNA,FAQ,800,Quintal,100,270,220,Dharwad
HUBBALLI,30/05/2002,PUNA,FAQ,800,Quintal,100,270,220,Dharwad
HUBBALLI,02/05/2002,TELAGI,FAQ,500,Quintal,50,180,150,Dharwad
HUBBALLI,03/05/2002,TELAGI,FAQ,400,Quintal,50,220,180,Dharwad
HUBBALLI,06/05/2002,TELAGI,FAQ,500,Quintal,50,200,160,Dharwad
HUBBALLI,07/05/2002,TELAGI,FAQ,800,Quintal,100,230,200,Dharwad
HUBBALLI,08/05/2002,TELAGI,FAQ,1200,Quintal,100,200,160,Dharwad
HUBBALLI,09/05/2002,TELAGI,FAQ,600,Quintal,100,210,190,Dharwad
HUBBALLI,10/05/2002,TELAGI,FAQ,500,Quintal,100,200,180,Dharwad
HUBBALLI,11/05/2002,TELAGI,FAQ,1200,Quintal,50,200,180,Dharwad
HUBBALLI,13/05/2002,TELAGI,FAQ,500,Quintal,50,200,180,Dharwad
HUBBALLI,15/05/2002,TELAGI,FAQ,200,Quintal,50,200,150,Dharwad
HUBBALLI,16/05/2002,TELAGI,FAQ,300,Quintal,50,180,150,Dharwad
HUBBALLI,17/05/2002,TELAGI,FAQ,600,Quintal,50,180,160,Dharwad
HUBBALLI,18/05/2002,TELAGI,FAQ,800,Quintal,50,220,200,Dharwad
HUBBALLI,20/05/2002,TELAGI,FAQ,400,Quintal,50,200,160,Dharwad
HUBBALLI,21/05/2002,TELAGI,FAQ,400,Quintal,50,230,200,Dharwad
HUBBALLI,22/05/2002,TELAGI,FAQ,600,Quintal,50,230,200,Dharwad
HUBBALLI,23/05/2002,TELAGI,FAQ,300,Quintal,80,170,150,Dharwad
HUBBALLI,27/05/2002,TELAGI,FAQ,600,Quintal,50,220,180,Dharwad
HUBBALLI,28/05/2002,TELAGI,FAQ,500,Quintal,100,270,200,Dharwad
HUBBALLI,29/05/2002,TELAGI,FAQ,400,Quintal,100,240,180,Dharwad
HUBBALLI,30/05/2002,TELAGI,FAQ,400,Quintal,100,220,180,Dharwad
