Market,Date,Variety,Grade,Arrivals,Unit,Min,Max,Modal,District
MYSURU,01/04/2002,BANGALORE SMALL,FAQ,80,Quintal,600,650,620,Mysuru
MYSURU,18/04/2002,BANGALORE SMALL,FAQ,512,Quintal,300,600,500,Mysuru
MYSURU,26/04/2002,BANGALORE SMALL,FAQ,527,Quintal,600,800,700,Mysuru
MYSURU,04/04/2002,PUNA,FAQ,900,Quintal,200,400,300,Mysuru
MYSURU,08/04/2002,PUNA,FAQ,300,Quintal,200,400,300,Mysuru
MYSURU,10/04/2002,PUNA,FAQ,400,Quintal,200,400,300,Mysuru
MYSURU,11/04/2002,PUNA,FAQ,8560,Quintal,200,400,300,Mysuru
MYSURU,15/04/2002,PUNA,FAQ,570,Quintal,200,400,300,Mysuru
MYSURU,18/04/2002,PUNA,FAQ,3545,Quintal,200,400,300,Mysuru
MYSURU,19/04/2002,PUNA,FAQ,1700,Quintal,200,400,300,Mysuru
MYSURU,20/04/2002,PUNA,FAQ,200,Quintal,150,300,200,Mysuru
MYSURU,22/04/2002,PUNA,FAQ,700,Quintal,200,400,300,Mysuru
MYSURU,23/04/2002,PUNA,FAQ,1000,Quintal,200,400,300,Mysuru
MYSURU,24/04/2002,PUNA,FAQ,2200,Quintal,200,400,300,Mysuru
MYSURU,26/04/2002,PUNA,FAQ,3835,Quintal,200,400,300,Mysuru
MYSURU,29/04/2002,PUNA,FAQ,1800,Quintal,200,400,300,Mysuru
MYSURU,30/04/2002,PUNA,FAQ,800,Quintal,200,300,250,Mysuru
MYSURU,09/05/2002,BANGALORE SMALL,FAQ,2000,Quintal,200,300,250,Mysuru
MYSURU,10/05/2002,BANGALORE SMALL,FAQ,800,Quintal,200,300,250,Mysuru
MYSURU,03/05/2002,PUNA,FAQ,2516,Quintal,200,500,300,Mysuru
MYSURU,07/05/2002,PUNA,FAQ,726,Quintal,200,400,300,Mysuru
MYSURU,08/05/2002,PUNA,FAQ,200,Quintal,200,400,300,Mysuru
MYSURU,13/05/2002,PUNA,FAQ,6200,Quintal,200,400,300,Mysuru
MYSURU,15/05/2002,PUNA,FAQ,1100,Quintal,200,300,250,Mysuru
MYSURU,18/05/2002,PUNA,FAQ,100,Quintal,200,500,300,Mysuru
MYSURU,20/05/2002,PUNA,FAQ,3700,Quintal,200,350,300,Mysuru
MYSURU,21/05/2002,PUNA,FAQ,1700,Quintal,200,350,300,Mysuru
MYSURU,28/05/2002,PUNA,FAQ,1030,Quintal,200,400,300,Mysuru
MYSURU,29/05/2002,PUNA,FAQ,1100,Quintal,200,350,300,Mysuru
MYSURU,30/05/2002,PUNA,FAQ,3892,Quintal,200,350,300,Mysuru
MYSURU,20/06/2002,BANGALORE SMALL,FAQ,340,Quintal,400,600,500,Mysuru
MYSURU,03/06/2002,PUNA,FAQ,1800,Quintal,200,350,300,Mysuru
MYSURU,04/06/2002,PUNA,FAQ,3960,Quintal,200,350,300,Mysuru
MYSURU,06/06/2002,PUNA,FAQ,378,Quintal,300,400,350,Mysuru
MYSURU,10/06/2002,PUNA,FAQ,3200,Quintal,200,500,300,Mysuru
MYSURU,11/06/2002,PUNA,FAQ,500,Quintal,250,350,300,Mysuru
MYSURU,12/06/2002,PUNA,FAQ,2700,Quintal,250,350,300,Mysuru
MYSURU,13/06/2002,PUNA,FAQ,1148,Quintal,250,350,300,Mysuru
MYSURU,15/06/2002,PUNA,FAQ,900,Quintal,260,400,350,Mysuru
MYSURU,17/06/2002,PUNA,FAQ,2050,Quintal,250,400,300,Mysuru
MYSURU,18/06/2002,PUNA,FAQ,900,Quintal,250,350,300,Mysuru
MYSURU,19/06/2002,PUNA,FAQ,2870,Quintal,250,350,300,Mysuru
MYSURU,25/06/2002,PUNA,FAQ,1650,Quintal,250,380,350,Mysuru
MYSURU,26/06/2002,PUNA,FAQ,1837,Quintal,250,500,400,Mysuru
MYSURU,01/07/2002,PUNA,FAQ,1800,Quintal,300,480,400,Mysuru
MYSURU,02/07/2002,PUNA,FAQ,2500,Quintal,300,500,400,Mysuru
MYSURU,05/07/2002,PUNA,FAQ,200,Quintal,300,400,350,Mysuru
MYSURU,08/07/2002,PUNA,FAQ,300,Quintal,300,500,430,Mysuru
MYSURU,09/07/2002,PUNA,FAQ,1470,Quintal,300,400,450,Mysuru
MYSURU,10/07/2002,PUNA,FAQ,2900,Quintal,300,500,450,Mysuru
MYSURU,11/07/2002,PUNA,FAQ,600,Quintal,300,500,400,Mysuru
MYSURU,15/07/2002,PUNA,FAQ,1640,Quintal,300,500,450,Mysuru
MYSURU,17/07/2002,PUNA,FAQ,3700,Quintal,300,500,400,Mysuru
MYSURU,18/07/2002,PUNA,FAQ,150,Quintal,300,500,400,Mysuru
MYSURU,19/07/2002,PUNA,FAQ,1000,Quintal,300,500,450,Mysuru
MYSURU,22/07/2002,PUNA,FAQ,800,Quintal,300,500,450,Mysuru
MYSURU,23/07/2002,PUNA,FAQ,2700,Quintal,300,400,380,Mysuru
MYSURU,24/07/2002,PUNA,FAQ,1640,Quintal,300,500,350,Mysuru
MYSURU,26/07/2002,PUNA,FAQ,400,Quintal,300,450,400,Mysuru
MYSURU,27/07/2002,PUNA,FAQ,1000,Quintal,250,450,400,Mysuru
MYSURU,29/07/2002,PUNA,FAQ,1800,Quintal,300,500,450,Mysuru
MYSURU,30/07/2002,PUNA,FAQ,400,Quintal,300,500,450,Mysuru
MYSURU,31/07/2002,PUNA,FAQ,1151,Quintal,300,500,400,Mysuru
MYSURU,06/08/2002,BANGALORE SMALL,FAQ,500,Quintal,300,600,450,Mysuru
MYSURU,01/08/2002,PUNA,FAQ,930,Quintal,300,500,450,Mysuru
MYSURU,03/08/2002,PUNA,FAQ,200,Quintal,300,500,450,Mysuru
MYSURU,05/08/2002,PUNA,FAQ,1600,Quintal,300,600,480,Mysuru
MYSURU,07/08/2002,PUNA,FAQ,560,Quintal,300,600,450,Mysuru
MYSURU,08/08/2002,PUNA,FAQ,316,Quintal,300,600,500,Mysuru
