Min,Max,Modal,Year,Month,Day,Variety_LOCAL,Variety_ONION,Variety_OTHER,Variety_PUNA,Variety_TELAGI,Grade_AVERAGE,Grade_FAQ,Grade_LARGE,Grade_MEDIUM,Grade_SMALL
150.0,350.0,290.0,2002.0,2.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
250.0,500.0,300.0,2002.0,2.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
100.0,230.0,200.0,2002.0,3.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
100.0,230.0,200.0,2002.0,3.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
100.0,260.0,200.0,2002.0,3.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,150.0,120.0,2002.0,3.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
50.0,180.0,150.0,2002.0,3.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
50.0,200.0,180.0,2002.0,3.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
100.0,260.0,200.0,2002.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
100.0,250.0,200.0,2002.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
100.0,270.0,220.0,2002.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
100.0,280.0,230.0,2002.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
150.0,280.0,200.0,2002.0,4.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
150.0,270.0,200.0,2002.0,4.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
150.0,280.0,200.0,2002.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
100.0,260.0,200.0,2002.0,4.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
100.0,260.0,200.0,2002.0,4.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
100.0,230.0,180.0,2002.0,4.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
100.0,230.0,180.0,2002.0,4.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
100.0,220.0,180.0,2002.0,4.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,250.0,200.0,2002.0,4.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
150.0,230.0,180.0,2002.0,4.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
150.0,250.0,180.0,2002.0,4.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
100.0,220.0,200.0,2002.0,4.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,250.0,200.0,2002.0,4.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
100.0,230.0,190.0,2002.0,4.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
100.0,230.0,200.0,2002.0,4.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
100.0,270.0,200.0,2002.0,4.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,200.0,180.0,2002.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
50.0,200.0,180.0,2002.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
50.0,210.0,180.0,2002.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
50.0,200.0,180.0,2002.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
100.0,200.0,180.0,2002.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
100.0,230.0,200.0,2002.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
50.0,200.0,180.0,2002.0,4.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
50.0,230.0,200.0,2002.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
50.0,150.0,100.0,2002.0,4.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
50.0,170.0,120.0,2002.0,4.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
50.0,150.0,100.0,2002.0,4.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
50.0,170.0,120.0,2002.0,4.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
50.0,200.0,180.0,2002.0,4.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
50.0,150.0,130.0,2002.0,4.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
50.0,180.0,150.0,2002.0,4.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
50.0,180.0,150.0,2002.0,4.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
50.0,200.0,180.0,2002.0,4.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
50.0,180.0,150.0,2002.0,4.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
50.0,180.0,150.0,2002.0,4.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
50.0,180.0,150.0,2002.0,4.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
100.0,280.0,200.0,2002.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
100.0,280.0,200.0,2002.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
