Min,Max,Modal,Year,Month,Day,Variety_OTHER,Variety_PUNA,Grade_FAQ,Grade_LARGE,Grade_MEDIUM
600.0,650.0,620.0,2002.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0
300.0,600.0,500.0,2002.0,4.0,18.0,0.0,0.0,1.0,0.0,0.0
600.0,800.0,700.0,2002.0,4.0,26.0,0.0,0.0,1.0,0.0,0.0
200.0,400.0,300.0,2002.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0
200.0,400.0,300.0,2002.0,4.0,8.0,0.0,1.0,1.0,0.0,0.0
200.0,400.0,300.0,2002.0,4.0,10.0,0.0,1.0,1.0,0.0,0.0
200.0,400.0,300.0,2002.0,4.0,11.0,0.0,1.0,1.0,0.0,0.0
200.0,400.0,300.0,2002.0,4.0,15.0,0.0,1.0,1.0,0.0,0.0
200.0,400.0,300.0,2002.0,4.0,18.0,0.0,1.0,1.0,0.0,0.0
200.0,400.0,300.0,2002.0,4.0,19.0,0.0,1.0,1.0,0.0,0.0
150.0,300.0,200.0,2002.0,4.0,20.0,0.0,1.0,1.0,0.0,0.0
200.0,400.0,300.0,2002.0,4.0,22.0,0.0,1.0,1.0,0.0,0.0
200.0,400.0,300.0,2002.0,4.0,23.0,0.0,1.0,1.0,0.0,0.0
200.0,400.0,300.0,2002.0,4.0,24.0,0.0,1.0,1.0,0.0,0.0
200.0,400.0,300.0,2002.0,4.0,26.0,0.0,1.0,1.0,0.0,0.0
200.0,400.0,300.0,2002.0,4.0,29.0,0.0,1.0,1.0,0.0,0.0
200.0,300.0,250.0,2002.0,4.0,30.0,0.0,1.0,1.0,0.0,0.0
200.0,300.0,250.0,2002.0,5.0,9.0,0.0,0.0,1.0,0.0,0.0
200.0,300.0,250.0,2002.0,5.0,10.0,0.0,0.0,1.0,0.0,0.0
200.0,500.0,300.0,2002.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0
200.0,400.0,300.0,2002.0,5.0,7.0,0.0,1.0,1.0,0.0,0.0
200.0,400.0,300.0,2002.0,5.0,8.0,0.0,1.0,1.0,0.0,0.0
200.0,400.0,300.0,2002.0,5.0,13.0,0.0,1.0,1.0,0.0,0.0
200.0,300.0,250.0,2002.0,5.0,15.0,0.0,1.0,1.0,0.0,0.0
200.0,500.0,300.0,2002.0,5.0,18.0,0.0,1.0,1.0,0.0,0.0
200.0,350.0,300.0,2002.0,5.0,20.0,0.0,1.0,1.0,0.0,0.0
200.0,350.0,300.0,2002.0,5.0,21.0,0.0,1.0,1.0,0.0,0.0
200.0,400.0,300.0,2002.0,5.0,28.0,0.0,1.0,1.0,0.0,0.0
200.0,350.0,300.0,2002.0,5.0,29.0,0.0,1.0,1.0,0.0,0.0
200.0,350.0,300.0,2002.0,5.0,30.0,0.0,1.0,1.0,0.0,0.0
400.0,600.0,500.0,2002.0,6.0,20.0,0.0,0.0,1.0,0.0,0.0
200.0,350.0,300.0,2002.0,6.0,3.0,0.0,1.0,1.0,0.0,0.0
200.0,350.0,300.0,2002.0,6.0,4.0,0.0,1.0,1.0,0.0,0.0
300.0,400.0,350.0,2002.0,6.0,6.0,0.0,1.0,1.0,0.0,0.0
200.0,500.0,300.0,2002.0,6.0,10.0,0.0,1.0,1.0,0.0,0.0
250.0,350.0,300.0,2002.0,6.0,11.0,0.0,1.0,1.0,0.0,0.0
250.0,350.0,300.0,2002.0,6.0,12.0,0.0,1.0,1.0,0.0,0.0
250.0,350.0,300.0,2002.0,6.0,13.0,0.0,1.0,1.0,0.0,0.0
260.0,400.0,350.0,2002.0,6.0,15.0,0.0,1.0,1.0,0.0,0.0
250.0,400.0,300.0,2002.0,6.0,17.0,0.0,1.0,1.0,0.0,0.0
250.0,350.0,300.0,2002.0,6.0,18.0,0.0,1.0,1.0,0.0,0.0
250.0,350.0,300.0,2002.0,6.0,19.0,0.0,1.0,1.0,0.0,0.0
