Min,Max,Modal,Year,Month,Day,DayOfWeek,Variety_GREEN PEAS,Grade_AVERAGE,Market_BENGALURU,Market_MYSURU,Market_SHIVAMOGGA
12200.0,15000.0,13600.0,2021.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0
12200.0,15000.0,13600.0,2021.0,1.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0
12200.0,15000.0,13600.0,2021.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0
12200.0,15000.0,13600.0,2021.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0
10500.0,13000.0,11750.0,2021.0,1.0,6.0,2.0,1.0,1.0,1.0,0.0,0.0
11000.0,13000.0,12000.0,2021.0,1.0,7.0,3.0,1.0,1.0,1.0,0.0,0.0
11000.0,13000.0,12000.0,2021.0,1.0,8.0,4.0,1.0,1.0,1.0,0.0,0.0
11000.0,13000.0,12000.0,2021.0,1.0,11.0,0.0,1.0,1.0,1.0,0.0,0.0
11000.0,13000.0,12000.0,2021.0,1.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0
11000.0,14500.0,12750.0,2021.0,1.0,15.0,4.0,1.0,1.0,1.0,0.0,0.0
11000.0,14500.0,12750.0,2021.0,1.0,16.0,5.0,1.0,1.0,1.0,0.0,0.0
11000.0,14500.0,12750.0,2021.0,1.0,18.0,0.0,1.0,1.0,1.0,0.0,0.0
11500.0,12000.0,11750.0,2021.0,1.0,19.0,1.0,1.0,1.0,1.0,0.0,0.0
11500.0,12000.0,11750.0,2021.0,1.0,21.0,3.0,1.0,1.0,1.0,0.0,0.0
11500.0,12000.0,11750.0,2021.0,1.0,22.0,4.0,1.0,1.0,1.0,0.0,0.0
11500.0,12000.0,11750.0,2021.0,1.0,25.0,0.0,1.0,1.0,1.0,0.0,0.0
11500.0,12000.0,11750.0,2021.0,1.0,27.0,2.0,1.0,1.0,1.0,0.0,0.0
11000.0,14000.0,12500.0,2021.0,1.0,28.0,3.0,1.0,1.0,1.0,0.0,0.0
11000.0,14000.0,12500.0,2021.0,1.0,29.0,4.0,1.0,1.0,1.0,0.0,0.0
11000.0,14000.0,12500.0,2021.0,1.0,30.0,5.0,1.0,1.0,1.0,0.0,0.0
