Arrivals,Min,Max,Modal,Year,Month,Day,DayOfWeek,Variety_BIG (WITH SHELL),Variety_OTHER,Grade_AVERAGE,Market_BENGALURU,Market_MYSURU,Market_YADGIR
-0.3765603406136014,6000.0,7000.0,6500.0,2021.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.38072093445488603,6000.0,7000.0,6500.0,2021.0,1.0,2.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.3563517419559331,6000.0,7000.0,6500.0,2021.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.35159677756589347,6000.0,7000.0,6500.0,2021.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.3622954474434826,6000.0,7000.0,6500.0,2021.0,1.0,6.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.3646729296385024,6000.0,7000.0,6500.0,2021.0,1.0,7.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.37834345225986626,6000.0,7000.0,6500.0,2021.0,1.0,8.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.3010752809217227,6000.0,7000.0,6500.0,2021.0,1.0,11.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.33376566110324496,6000.0,7000.0,6500.0,2021.0,1.0,12.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.2939428343366633,4000.0,4500.0,4250.0,2021.0,1.0,13.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.21073095751097026,4000.0,4500.0,4250.0,2021.0,1.0,15.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.37834345225986626,4000.0,4500.0,4250.0,2021.0,1.0,20.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.3628898179922375,4000.0,4500.0,4250.0,2021.0,1.0,21.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.3492192953708737,4000.0,4500.0,4250.0,2021.0,1.0,25.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.37596597006484644,4000.0,4500.0,4250.0,2021.0,1.0,27.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.36883352347978704,4000.0,4500.0,4250.0,2021.0,1.0,28.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.38072093445488603,6000.0,7000.0,6500.0,2021.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.3670504118335222,6000.0,7000.0,6500.0,2021.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.37121100567480686,6000.0,7000.0,6500.0,2021.0,2.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.3777490817111113,6000.0,7000.0,6500.0,2021.0,2.0,8.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.3664560412847672,6000.0,7000.0,6500.0,2021.0,2.0,10.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.36883352347978704,6000.0,7000.0,6500.0,2021.0,2.0,11.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.3664560412847672,6000.0,7000.0,6500.0,2021.0,2.0,16.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.37834345225986626,6000.0,7000.0,6500.0,2021.0,2.0,17.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.3741828584185816,6000.0,7000.0,6500.0,2021.0,2.0,18.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.37121100567480686,6000.0,7000.0,6500.0,2021.0,2.0,19.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.37953219335737615,6000.0,7000.0,6500.0,2021.0,2.0,20.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.3765603406136014,6000.0,7000.0,6500.0,2021.0,2.0,22.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.3777490817111113,6000.0,7000.0,6500.0,2021.0,2.0,23.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.3753715995160915,6000.0,7000.0,6500.0,2021.0,2.0,24.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.3825040461011509,6000.0,7000.0,6500.0,2021.0,2.0,25.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.381315305003641,6000.0,7000.0,6500.0,2021.0,2.0,26.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.3771547111623563,6000.0,7000.0,6500.0,2021.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.369427894028542,6000.0,7000.0,6500.0,2021.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.3753715995160915,6000.0,7000.0,6500.0,2021.0,3.0,5.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.37953219335737615,6000.0,7000.0,6500.0,2021.0,3.0,6.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.38190967555239597,6000.0,7000.0,6500.0,2021.0,3.0,8.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.38190967555239597,6000.0,7000.0,6500.0,2021.0,3.0,9.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.37834345225986626,6000.0,7000.0,6500.0,2021.0,3.0,17.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.3735884878698266,6000.0,7000.0,6500.0,2021.0,3.0,18.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.3777490817111113,6000.0,7000.0,6500.0,2021.0,3.0,19.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.37121100567480686,6000.0,7000.0,6500.0,2021.0,3.0,22.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
-0.3789378228086212,6000.0,7000.0,6500.0,2021.0,3.0,26.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0
