Market,Date,Variety,Grade,Arrivals,Unit,Min,Max,Modal,District
BENGALURU,01/01/2021,GREEN PEAS,AVERAGE,123,Quintal,12200,15000,13600,Bengaluru Urban•
BENGALURU,02/01/2021,GREEN PEAS,AVERAGE,109,Quintal,12200,15000,13600,Bengaluru Urban•
BENGALURU,04/01/2021,GREEN PEAS,AVERAGE,25,Quintal,12200,15000,13600,Bengaluru Urban•
BENGALURU,05/01/2021,GREEN PEAS,AVERAGE,810,Quintal,12200,15000,13600,Bengaluru Urban•
BENGALURU,06/01/2021,GREEN PEAS,AVERAGE,399,Quintal,10500,13000,11750,Bengaluru Urban•
BENGALURU,07/01/2021,GREEN PEAS,AVERAGE,250,Quintal,11000,13000,12000,Bengaluru Urban•
BENGALURU,08/01/2021,GREEN PEAS,AVERAGE,250,Quintal,11000,13000,12000,Bengaluru Urban•
BENGALURU,11/01/2021,GREEN PEAS,AVERAGE,259,Quintal,11000,13000,12000,Bengaluru Urban•
BENGALURU,12/01/2021,GREEN PEAS,AVERAGE,1000,Quintal,11000,13000,12000,Bengaluru Urban•
BENGALURU,15/01/2021,GREEN PEAS,AVERAGE,310,Quintal,11000,14500,12750,Bengaluru Urban•
BENGALURU,16/01/2021,GREEN PEAS,AVERAGE,360,Quintal,11000,14500,12750,Bengaluru Urban•
BENGALURU,18/01/2021,GREEN PEAS,AVERAGE,563,Quintal,11000,14500,12750,Bengaluru Urban•
BENGALURU,19/01/2021,GREEN PEAS,AVERAGE,504,Quintal,11500,12000,11750,Bengaluru Urban•
BENGALURU,21/01/2021,GREEN PEAS,AVERAGE,266,Quintal,11500,12000,11750,Bengaluru Urban•
BENGALURU,22/01/2021,GREEN PEAS,AVERAGE,365,Quintal,11500,12000,11750,Bengaluru Urban•
BENGALURU,25/01/2021,GREEN PEAS,AVERAGE,1304,Quintal,11500,12000,11750,Bengaluru Urban•
BENGALURU,27/01/2021,GREEN PEAS,AVERAGE,307,Quintal,11500,12000,11750,Bengaluru Urban•
BENGALURU,28/01/2021,GREEN PEAS,AVERAGE,427,Quintal,11000,14000,12500,Bengaluru Urban•
BENGALURU,29/01/2021,GREEN PEAS,AVERAGE,1110,Quintal,11000,14000,12500,Bengaluru Urban•
BENGALURU,30/01/2021,GREEN PEAS,AVERAGE,1547,Quintal,11000,14000,12500,Bengaluru Urban•
BENGALURU,01/02/2021,GREEN PEAS,AVERAGE,1213,Quintal,8000,12000,10000,Bengaluru Urban•
BENGALURU,02/02/2021,GREEN PEAS,AVERAGE,717,Quintal,8000,12000,10000,Bengaluru Urban•
BENGALURU,03/02/2021,GREEN PEAS,AVERAGE,757,Quintal,8000,12000,10000,Bengaluru Urban•
BENGALURU,04/02/2021,GREEN PEAS,AVERAGE,606,Quintal,8000,12000,10000,Bengaluru Urban•
BENGALURU,05/02/2021,GREEN PEAS,AVERAGE,500,Quintal,12000,14000,13000,Bengaluru Urban•
BENGALURU,06/02/2021,GREEN PEAS,AVERAGE,600,Quintal,12000,14000,13000,Bengaluru Urban•
BENGALURU,08/02/2021,GREEN PEAS,AVERAGE,326,Quintal,10000,13000,11500,Bengaluru Urban•
BENGALURU,09/02/2021,GREEN PEAS,AVERAGE,167,Quintal,10000,13000,11500,Bengaluru Urban•
BENGALURU,10/02/2021,GREEN PEAS,AVERAGE,250,Quintal,10000,14000,12000,Bengaluru Urban•
BENGALURU,11/02/2021,GREEN PEAS,AVERAGE,300,Quintal,10000,14000,12000,Bengaluru Urban•
BENGALURU,12/02/2021,GREEN PEAS,AVERAGE,186,Quintal,10000,14000,12000,Bengaluru Urban•
BENGALURU,15/02/2021,GREEN PEAS,AVERAGE,7831,Quintal,10000,12000,11000,Bengaluru Urban•
BENGALURU,16/02/2021,GREEN PEAS,AVERAGE,512,Quintal,10000,12000,11000,Bengaluru Urban•
BENGALURU,17/02/2021,GREEN PEAS,AVERAGE,698,Quintal,10000,12000,11000,Bengaluru Urban•
