Market,Date,Variety,Grade,Arrivals,Unit,Min,Max,Modal,District
MYSURU,01/07/2021,GREEN PEAS,AVERAGE,30,Quintal,1300,1410,1350,Mysuru
MYSURU,02/07/2021,GREEN PEAS,AVERAGE,55,Quintal,1300,1420,1360,Mysuru
MYSURU,03/07/2021,GREEN PEAS,AVERAGE,10,Quintal,1300,1420,1360,Mysuru
MYSURU,04/07/2021,GREEN PEAS,AVERAGE,117,Quintal,13000,14100,13550,Mysuru
MYSURU,05/07/2021,GREEN PEAS,AVERAGE,5,Quintal,13000,14100,13550,Mysuru
MYSURU,07/07/2021,GREEN PEAS,AVERAGE,38,Quintal,13000,14100,13550,Mysuru
MYSURU,08/07/2021,GREEN PEAS,AVERAGE,68,Quintal,13000,14100,13550,Mysuru
MYSURU,09/07/2021,GREEN PEAS,AVERAGE,12,Quintal,13000,14100,13550,Mysuru
MYSURU,13/07/2021,GREEN PEAS,AVERAGE,29,Quintal,13000,14000,13400,Mysuru
MYSURU,16/07/2021,GREEN PEAS,AVERAGE,88,Quintal,13000,14000,13400,Mysuru
MYSURU,22/07/2021,GREEN PEAS,AVERAGE,135,Quintal,13000,14200,13600,Mysuru
MYSURU,24/07/2021,GREEN PEAS,AVERAGE,100,Quintal,13000,14000,13500,Mysuru
MYSURU,07/09/2021,GREEN PEAS,AVERAGE,190,Quintal,12000,12500,12200,Mysuru
MYSURU,01/10/2021,GREEN PEAS,AVERAGE,120,Quintal,11500,12400,12000,Mysuru
MYSURU,25/10/2021,GREEN PEAS,AVERAGE,3,Quintal,12000,12000,12000,Mysuru
MYSURU,19/11/2021,GREEN PEAS,AVERAGE,45,Quintal,13000,14000,13000,Mysuru
MYSURU,04/12/2021,GREEN PEAS,AVERAGE,32,Quintal,11000,12000,11800,Mysuru
MYSURU,07/12/2021,GREEN PEAS,AVERAGE,7,Quintal,9000,12000,11500,Mysuru
MYSURU,05/01/2022,GREEN PEAS,AVERAGE,3,Quintal,11400,11400,11400,Mysuru
MYSURU,12/01/2022,GREEN PEAS,AVERAGE,47,Quintal,11000,11400,11200,Mysuru
MYSURU,14/01/2022,GREEN PEAS,AVERAGE,118,Quintal,10500,11500,11000,Mysuru
MYSURU,12/02/2022,GREEN PEAS,AVERAGE,6,Quintal,10500,11400,11000,Mysuru
MYSURU,03/03/2022,GREEN PEAS,AVERAGE,6,Quintal,4916,7029,6086,Mysuru
MYSURU,08/03/2022,GREEN PEAS,AVERAGE,553,Quintal,11000,11000,11000,Mysuru
MYSURU,10/03/2022,GREEN PEAS,AVERAGE,300,Quintal,6800,6800,6800,Mysuru
MYSURU,11/03/2022,GREEN PEAS,AVERAGE,250,Quintal,8000,9000,8500,Mysuru
MYSURU,12/03/2022,GREEN PEAS,AVERAGE,3,Quintal,11000,11000,11000,Mysuru
MYSURU,14/03/2022,GREEN PEAS,AVERAGE,848,Quintal,5660,8710,6607,Mysuru
MYSURU,19/03/2022,GREEN PEAS,AVERAGE,500,Quintal,10900,11000,11000,Mysuru
MYSURU,21/03/2022,GREEN PEAS,AVERAGE,250,Quintal,7000,9500,8250,Mysuru
MYSURU,22/03/2022,GREEN PEAS,AVERAGE,87,Quintal,7000,9500,8250,Mysuru
MYSURU,25/03/2022,GREEN PEAS,AVERAGE,250,Quintal,7000,9500,8250,Mysuru
MYSURU,28/03/2022,GREEN PEAS,AVERAGE,26,Quintal,7000,8500,7750,Mysuru
MYSURU,29/03/2022,GREEN PEAS,AVERAGE,250,Quintal,7000,8500,7750,Mysuru
MYSURU,31/03/2022,GREEN PEAS,AVERAGE,10,Quintal,7000,8500,7750,Mysuru
MYSURU,04/04/2022,GREEN PEAS,AVERAGE,32,Quintal,7500,11000,11000,Mysuru
MYSURU,14/04/2022,GREEN PEAS,AVERAGE,25,Quintal,7500,11000,11000,Mysuru
MYSURU,15/04/2022,GREEN PEAS,AVERAGE,51,Quintal,7500,11000,11000,Mysuru
MYSURU,29/04/2022,GREEN PEAS,AVERAGE,260,Quintal,7000,8000,7500,Mysuru
MYSURU,24/05/2022,GREEN PEAS,AVERAGE,21,Quintal,7000,7000,7000,Mysuru
MYSURU,28/07/2022,GREEN PEAS,AVERAGE,30,Quintal,5208,5208,5208,Mysuru
MYSURU,05/08/2022,GREEN PEAS,AVERAGE,181,Quintal,4700,4700,4700,Mysuru
MYSURU,02/09/2022,GREEN PEAS,AVERAGE,15,Quintal,6000,7000,6500,Mysuru
MYSURU,20/09/2022,GREEN PEAS,AVERAGE,25,Quintal,5550,5550,5550,Mysuru
