Market,Date,Variety,Grade,Arrivals,Unit,Min,Max,Modal,District
SHIVAMOGGA,19/01/2021,GREEN PEAS,AVERAGE,1,Quintal,8000,12000,10000,Shivamogga
SHIVAMOGGA,25/01/2021,GREEN PEAS,AVERAGE,1,Quintal,2800,3100,2950,Shivamogga
SHIVAMOGGA,28/01/2021,GREEN PEAS,AVERAGE,2,Quintal,8000,12000,10000,Shivamogga
SHIVAMOGGA,30/01/2021,GREEN PEAS,AVERAGE,1,Quintal,8000,12000,10000,Shivamogga
SHIVAMOGGA,04/02/2021,GREEN PEAS,AVERAGE,3,Quintal,8000,12000,10000,Shivamogga
SHIVAMOGGA,08/02/2021,GREEN PEAS,AVERAGE,5,Quintal,8000,12000,10000,Shivamogga
SHIVAMOGGA,09/02/2021,GREEN PEAS,AVERAGE,1,Quintal,8000,12000,10000,Shivamogga
SHIVAMOGGA,10/02/2021,GREEN PEAS,AVERAGE,2,Quintal,6000,12000,10000,Shivamogga
SHIVAMOGGA,12/02/2021,GREEN PEAS,AVERAGE,1,Quintal,8000,12000,10000,Shivamogga
SHIVAMOGGA,15/02/2021,GREEN PEAS,AVERAGE,2,Quintal,8000,12000,10000,Shivamogga
SHIVAMOGGA,18/02/2021,GREEN PEAS,AVERAGE,10,Quintal,8000,12000,10000,Shivamogga
SHIVAMOGGA,19/02/2021,GREEN PEAS,AVERAGE,4,Quintal,8000,12000,10000,Shivamogga
SHIVAMOGGA,22/02/2021,GREEN PEAS,AVERAGE,1,Quintal,8400,9800,9100,Shivamogga
SHIVAMOGGA,23/02/2021,GREEN PEAS,AVERAGE,2,Quintal,8000,12000,10000,Shivamogga
SHIVAMOGGA,24/02/2021,GREEN PEAS,AVERAGE,7,Quintal,8000,12000,10000,Shivamogga
SHIVAMOGGA,26/02/2021,GREEN PEAS,AVERAGE,1,Quintal,8000,12000,10000,Shivamogga
SHIVAMOGGA,01/03/2021,GREEN PEAS,AVERAGE,2,Quintal,8000,12000,10000,Shivamogga
SHIVAMOGGA,02/03/2021,GREEN PEAS,AVERAGE,1,Quintal,6000,12000,9000,Shivamogga
SHIVAMOGGA,03/03/2021,GREEN PEAS,AVERAGE,2,Quintal,5000,12000,8500,Shivamogga
SHIVAMOGGA,06/03/2021,GREEN PEAS,AVERAGE,2,Quintal,5000,12000,8500,Shivamogga
SHIVAMOGGA,09/03/2021,GREEN PEAS,AVERAGE,3,Quintal,5000,12000,8500,Shivamogga
SHIVAMOGGA,15/03/2021,GREEN PEAS,AVERAGE,1,Quintal,6000,12000,9000,Shivamogga
SHIVAMOGGA,16/03/2021,GREEN PEAS,AVERAGE,11,Quintal,6000,12000,9000,Shivamogga
SHIVAMOGGA,17/03/2021,GREEN PEAS,AVERAGE,2,Quintal,6000,12000,9000,Shivamogga
SHIVAMOGGA,18/03/2021,GREEN PEAS,AVERAGE,1,Quintal,6000,12000,9000,Shivamogga
SHIVAMOGGA,20/03/2021,GREEN PEAS,AVERAGE,3,Quintal,6000,12000,9000,Shivamogga
SHIVAMOGGA,23/03/2021,GREEN PEAS,AVERAGE,4,Quintal,5000,12000,8500,Shivamogga
SHIVAMOGGA,26/03/2021,GREEN PEAS,AVERAGE,1,Quintal,6000,12000,8500,Shivamogga
SHIVAMOGGA,29/03/2021,GREEN PEAS,AVERAGE,5,Quintal,6000,12000,9000,Shivamogga
SHIVAMOGGA,03/04/2021,GREEN PEAS,AVERAGE,7,Quintal,6000,12000,9000,Shivamogga
SHIVAMOGGA,06/04/2021,GREEN PEAS,AVERAGE,2,Quintal,6000,12000,9000,Shivamogga
SHIVAMOGGA,07/04/2021,GREEN PEAS,AVERAGE,16,Quintal,6000,12000,9000,Shivamogga
SHIVAMOGGA,08/04/2021,GREEN PEAS,AVERAGE,2,Quintal,5000,12000,8500,Shivamogga
SHIVAMOGGA,09/04/2021,GREEN PEAS,AVERAGE,5,Quintal,5000,12000,8500,Shivamogga
SHIVAMOGGA,12/04/2021,GREEN PEAS,AVERAGE,2,Quintal,6000,12000,9000,Shivamogga
SHIVAMOGGA,16/04/2021,GREEN PEAS,AVERAGE,4,Quintal,6000,12000,9000,Shivamogga
SHIVAMOGGA,17/04/2021,GREEN PEAS,AVERAGE,12,Quintal,6000,12000,9000,Shivamogga
SHIVAMOGGA,19/04/2021,GREEN PEAS,AVERAGE,2,Quintal,8000,12000,10000,Shivamogga
SHIVAMOGGA,20/04/2021,GREEN PEAS,AVERAGE,1,Quintal,6000,12000,9000,Shivamogga
SHIVAMOGGA,21/04/2021,GREEN PEAS,AVERAGE,7,Quintal,8000,12000,10000,Shivamogga
SHIVAMOGGA,22/04/2021,GREEN PEAS,AVERAGE,2,Quintal,6000,12000,9000,Shivamogga
SHIVAMOGGA,23/04/2021,GREEN PEAS,AVERAGE,21,Quintal,6000,12000,9000,Shivamogga
SHIVAMOGGA,28/04/2021,GREEN PEAS,AVERAGE,11,Quintal,6000,12000,9000,Shivamogga
SHIVAMOGGA,29/04/2021,GREEN PEAS,AVERAGE,5,Quintal,8000,12000,10000,Shivamogga
SHIVAMOGGA,30/04/2021,GREEN PEAS,AVERAGE,13,Quintal,8000,12000,10000,Shivamogga
SHIVAMOGGA,03/05/2021,GREEN PEAS,AVERAGE,3,Quintal,8000,12000,10000,Shivamogga
SHIVAMOGGA,10/05/2021,GREEN PEAS,AVERAGE,2,Quintal,8000,12000,10000,Shivamogga
SHIVAMOGGA,11/05/2021,GREEN PEAS,AVERAGE,9,Quintal,8000,12000,10000,Shivamogga
SHIVAMOGGA,13/05/2021,GREEN PEAS,AVERAGE,6,Quintal,8000,12000,10000,Shivamogga
SHIVAMOGGA,18/05/2021,GREEN PEAS,AVERAGE,18,Quintal,6000,12000,9000,Shivamogga
SHIVAMOGGA,19/05/2021,GREEN PEAS,AVERAGE,9,Quintal,8000,12000,10000,Shivamogga
SHIVAMOGGA,20/05/2021,GREEN PEAS,AVERAGE,4,Quintal,8000,12000,10000,Shivamogga
SHIVAMOGGA,21/06/2021,GREEN PEAS,AVERAGE,5,Quintal,8000,12000,10000,Shivamogga
SHIVAMOGGA,29/06/2021,GREEN PEAS,AVERAGE,41,Quintal,8400,9800,9100,Shivamogga
SHIVAMOGGA,15/07/2021,GREEN PEAS,AVERAGE,2,Quintal,7000,12000,9500,Shivamogga
SHIVAMOGGA,18/10/2021,GREEN PEAS,AVERAGE,7,Quintal,7000,12500,9750,Shivamogga
SHIVAMOGGA,12/11/2021,GREEN PEAS,AVERAGE,9,Quintal,7000,12500,9750,Shivamogga
SHIVAMOGGA,10/12/2021,GREEN PEAS,AVERAGE,7,Quintal,7000,12500,9250,Shivamogga
SHIVAMOGGA,21/12/2021,GREEN PEAS,AVERAGE,2,Quintal,7000,12500,9750,Shivamogga
SHIVAMOGGA,22/12/2021,GREEN PEAS,AVERAGE,4,Quintal,7000,12500,9750,Shivamogga
SHIVAMOGGA,14/01/2022,GREEN PEAS,AVERAGE,6,Quintal,7000,12500,9750,Shivamogga
SHIVAMOGGA,21/02/2022,GREEN PEAS,AVERAGE,1,Quintal,7000,12500,8750,Shivamogga
