Market,Date,Variety,Grade,Arrivals,Unit,Min,Max,Modal,District
BENGALURU,01/01/2021,BIG (WITH SHELL),AVERAGE,12,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,02/01/2021,BIG (WITH SHELL),AVERAGE,5,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,04/01/2021,BIG (WITH SHELL),AVERAGE,46,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,05/01/2021,BIG (WITH SHELL),AVERAGE,54,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,06/01/2021,BIG (WITH SHELL),AVERAGE,36,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,07/01/2021,BIG (WITH SHELL),AVERAGE,32,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,08/01/2021,BIG (WITH SHELL),AVERAGE,9,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,11/01/2021,BIG (WITH SHELL),AVERAGE,139,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,12/01/2021,BIG (WITH SHELL),AVERAGE,84,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,13/01/2021,BIG (WITH SHELL),AVERAGE,151,Quintal,4000,4500,4250,Bengaluru Urban•
BENGALURU,15/01/2021,BIG (WITH SHELL),AVERAGE,291,Quintal,4000,4500,4250,Bengaluru Urban•
BENGALURU,20/01/2021,BIG (WITH SHELL),AVERAGE,9,Quintal,4000,4500,4250,Bengaluru Urban•
BENGALURU,21/01/2021,BIG (WITH SHELL),AVERAGE,35,Quintal,4000,4500,4250,Bengaluru Urban•
BENGALURU,25/01/2021,BIG (WITH SHELL),AVERAGE,58,Quintal,4000,4500,4250,Bengaluru Urban•
BENGALURU,27/01/2021,BIG (WITH SHELL),AVERAGE,13,Quintal,4000,4500,4250,Bengaluru Urban•
BENGALURU,28/01/2021,BIG (WITH SHELL),AVERAGE,25,Quintal,4000,4500,4250,Bengaluru Urban•
BENGALURU,01/02/2021,BIG (WITH SHELL),AVERAGE,5,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,02/02/2021,BIG (WITH SHELL),AVERAGE,28,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,04/02/2021,BIG (WITH SHELL),AVERAGE,21,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,08/02/2021,BIG (WITH SHELL),AVERAGE,10,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,10/02/2021,BIG (WITH SHELL),AVERAGE,29,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,11/02/2021,BIG (WITH SHELL),AVERAGE,25,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,16/02/2021,BIG (WITH SHELL),AVERAGE,29,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,17/02/2021,BIG (WITH SHELL),AVERAGE,9,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,18/02/2021,BIG (WITH SHELL),AVERAGE,16,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,19/02/2021,BIG (WITH SHELL),AVERAGE,21,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,20/02/2021,BIG (WITH SHELL),AVERAGE,7,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,22/02/2021,BIG (WITH SHELL),AVERAGE,12,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,23/02/2021,BIG (WITH SHELL),AVERAGE,10,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,24/02/2021,BIG (WITH SHELL),AVERAGE,14,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,25/02/2021,BIG (WITH SHELL),AVERAGE,2,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,26/02/2021,BIG (WITH SHELL),AVERAGE,4,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,01/03/2021,BIG (WITH SHELL),AVERAGE,11,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,02/03/2021,BIG (WITH SHELL),AVERAGE,24,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,05/03/2021,BIG (WITH SHELL),AVERAGE,14,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,06/03/2021,BIG (WITH SHELL),AVERAGE,7,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,08/03/2021,BIG (WITH SHELL),AVERAGE,3,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,09/03/2021,BIG (WITH SHELL),AVERAGE,3,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,17/03/2021,BIG (WITH SHELL),AVERAGE,9,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,18/03/2021,BIG (WITH SHELL),AVERAGE,17,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,19/03/2021,BIG (WITH SHELL),AVERAGE,10,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,22/03/2021,BIG (WITH SHELL),AVERAGE,21,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,26/03/2021,BIG (WITH SHELL),AVERAGE,8,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,29/03/2021,BIG (WITH SHELL),AVERAGE,21,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,30/03/2021,BIG (WITH SHELL),AVERAGE,17,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,01/04/2021,BIG (WITH SHELL),AVERAGE,3,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,03/04/2021,BIG (WITH SHELL),AVERAGE,10,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,07/04/2021,BIG (WITH SHELL),AVERAGE,6,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,08/04/2021,BIG (WITH SHELL),AVERAGE,30,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,12/04/2021,BIG (WITH SHELL),AVERAGE,17,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,19/04/2021,BIG (WITH SHELL),AVERAGE,17,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,20/04/2021,BIG (WITH SHELL),AVERAGE,11,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,21/04/2021,BIG (WITH SHELL),AVERAGE,12,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,22/04/2021,BIG (WITH SHELL),AVERAGE,4,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,23/04/2021,BIG (WITH SHELL),AVERAGE,12,Quintal,6000,7000,6500,Bengaluru Urban•
BENGALURU,26/04/2021,BIG (WITH SHELL),AVERAGE,5,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,27/04/2021,BIG (WITH SHELL),AVERAGE,21,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,30/04/2021,BIG (WITH SHELL),AVERAGE,10,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,03/05/2021,BIG (WITH SHELL),AVERAGE,10,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,04/05/2021,BIG (WITH SHELL),AVERAGE,15,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,05/05/2021,BIG (WITH SHELL),AVERAGE,11,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,06/05/2021,BIG (WITH SHELL),AVERAGE,10,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,07/05/2021,BIG (WITH SHELL),AVERAGE,10,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,10/05/2021,BIG (WITH SHELL),AVERAGE,5,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,11/05/2021,BIG (WITH SHELL),AVERAGE,20,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,12/05/2021,BIG (WITH SHELL),AVERAGE,36,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,13/05/2021,BIG (WITH SHELL),AVERAGE,10,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,15/05/2021,BIG (WITH SHELL),AVERAGE,33,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,20/05/2021,BIG (WITH SHELL),AVERAGE,8,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,24/05/2021,BIG (WITH SHELL),AVERAGE,34,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,25/05/2021,BIG (WITH SHELL),AVERAGE,22,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,26/05/2021,BIG (WITH SHELL),AVERAGE,22,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,27/05/2021,BIG (WITH SHELL),AVERAGE,19,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,28/05/2021,BIG (WITH SHELL),AVERAGE,33,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,29/05/2021,BIG (WITH SHELL),AVERAGE,24,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,31/05/2021,BIG (WITH SHELL),AVERAGE,75,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,01/06/2021,BIG (WITH SHELL),AVERAGE,55,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,02/06/2021,BIG (WITH SHELL),AVERAGE,20,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,03/06/2021,BIG (WITH SHELL),AVERAGE,50,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,04/06/2021,BIG (WITH SHELL),AVERAGE,10,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,05/06/2021,BIG (WITH SHELL),AVERAGE,6,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,07/06/2021,BIG (WITH SHELL),AVERAGE,14,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,08/06/2021,BIG (WITH SHELL),AVERAGE,14,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,09/06/2021,BIG (WITH SHELL),AVERAGE,40,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,10/06/2021,BIG (WITH SHELL),AVERAGE,48,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,11/06/2021,BIG (WITH SHELL),AVERAGE,40,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,14/06/2021,BIG (WITH SHELL),AVERAGE,40,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,15/06/2021,BIG (WITH SHELL),AVERAGE,28,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,16/06/2021,BIG (WITH SHELL),AVERAGE,8,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,17/06/2021,BIG (WITH SHELL),AVERAGE,31,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,18/06/2021,BIG (WITH SHELL),AVERAGE,15,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,19/06/2021,BIG (WITH SHELL),AVERAGE,10,Quintal,3000,3500,3250,Bengaluru Urban•
BENGALURU,21/06/2021,BIG (WITH SHELL),AVERAGE,67,Quintal,3000,3500,3250,Bengaluru Urban•
