Market,Date,Variety,Grade,Arrivals,Unit,Min,Max,Modal,District
MYSURU,01/01/2021,OTHER,AVERAGE,3,Quintal,4006,4006,4006,Mysuru
MYSURU,02/01/2021,OTHER,AVERAGE,1,Quintal,4650,4650,4650,Mysuru
MYSURU,04/01/2021,OTHER,AVERAGE,5,Quintal,4500,4700,4614,Mysuru
MYSURU,05/01/2021,OTHER,AVERAGE,6,Quintal,3652,4006,3770,Mysuru
MYSURU,06/01/2021,OTHER,AVERAGE,1,Quintal,3800,3800,3800,Mysuru
MYSURU,07/01/2021,OTHER,AVERAGE,8,Quintal,2632,6532,5174,Mysuru
MYSURU,08/01/2021,OTHER,AVERAGE,1,Quintal,5330,5808,5569,Mysuru
MYSURU,09/01/2021,OTHER,AVERAGE,3,Quintal,3800,4789,4379,Mysuru
MYSURU,11/01/2021,OTHER,AVERAGE,17,Quintal,3632,4848,4433,Mysuru
MYSURU,12/01/2021,OTHER,AVERAGE,10,Quintal,4006,5263,4589,Mysuru
MYSURU,13/01/2021,OTHER,AVERAGE,5,Quintal,4053,5620,4962,Mysuru
MYSURU,19/01/2021,OTHER,AVERAGE,3,Quintal,5589,5589,5589,Mysuru
MYSURU,27/01/2021,OTHER,AVERAGE,1,Quintal,5350,5350,5350,Mysuru
MYSURU,30/01/2021,OTHER,AVERAGE,2,Quintal,6247,6247,6247,Mysuru
MYSURU,01/02/2021,OTHER,AVERAGE,3,Quintal,4006,4006,4006,Mysuru
MYSURU,13/02/2021,OTHER,AVERAGE,1,Quintal,6366,6366,6366,Mysuru
MYSURU,05/03/2021,OTHER,AVERAGE,2,Quintal,5522,5522,5522,Mysuru
MYSURU,03/08/2021,OTHER,AVERAGE,12,Quintal,2621,6912,5089,Mysuru
MYSURU,04/08/2021,OTHER,AVERAGE,42,Quintal,2416,5361,3511,Mysuru
MYSURU,05/08/2021,OTHER,AVERAGE,49,Quintal,2755,6889,5356,Mysuru
MYSURU,06/08/2021,OTHER,AVERAGE,46,Quintal,3060,7189,5576,Mysuru
MYSURU,07/08/2021,OTHER,AVERAGE,7,Quintal,1860,5410,3555,Mysuru
MYSURU,09/08/2021,OTHER,AVERAGE,49,Quintal,2722,7219,5503,Mysuru
MYSURU,10/08/2021,OTHER,AVERAGE,42,Quintal,2021,6088,3948,Mysuru
MYSURU,11/08/2021,OTHER,AVERAGE,7,Quintal,5060,7169,6314,Mysuru
MYSURU,12/08/2021,OTHER,AVERAGE,46,Quintal,2210,6119,4473,Mysuru
MYSURU,13/08/2021,OTHER,AVERAGE,34,Quintal,2070,4731,3216,Mysuru
MYSURU,14/08/2021,OTHER,AVERAGE,6,Quintal,1670,3403,2641,Mysuru
MYSURU,16/08/2021,OTHER,AVERAGE,31,Quintal,1510,4330,3006,Mysuru
MYSURU,17/08/2021,OTHER,AVERAGE,26,Quintal,1720,3142,2440,Mysuru
MYSURU,19/08/2021,OTHER,AVERAGE,12,Quintal,1509,5222,4435,Mysuru
MYSURU,21/08/2021,OTHER,AVERAGE,13,Quintal,3003,6069,4639,Mysuru
MYSURU,23/08/2021,OTHER,AVERAGE,22,Quintal,2421,6242,3634,Mysuru
MYSURU,27/08/2021,OTHER,AVERAGE,33,Quintal,2230,5510,3479,Mysuru
MYSURU,28/08/2021,OTHER,AVERAGE,20,Quintal,2206,4860,3176,Mysuru
MYSURU,30/08/2021,OTHER,AVERAGE,29,Quintal,1751,5489,3535,Mysuru
MYSURU,31/08/2021,OTHER,AVERAGE,30,Quintal,4349,5429,4749,Mysuru
MYSURU,01/09/2021,OTHER,AVERAGE,107,Quintal,2310,5630,3979,Mysuru
MYSURU,02/09/2021,OTHER,AVERAGE,18,Quintal,2614,5822,4442,Mysuru
MYSURU,03/09/2021,OTHER,AVERAGE,31,Quintal,3030,5110,4200,Mysuru
MYSURU,06/09/2021,OTHER,AVERAGE,95,Quintal,10800,11000,10900,Mysuru
MYSURU,07/09/2021,OTHER,AVERAGE,79,Quintal,3000,6060,4612,Mysuru
MYSURU,08/09/2021,OTHER,AVERAGE,38,Quintal,2000,5200,3800,Mysuru
MYSURU,09/09/2021,OTHER,AVERAGE,6,Quintal,2544,4116,3330,Mysuru
MYSURU,11/09/2021,OTHER,AVERAGE,4,Quintal,2721,5460,4649,Mysuru
MYSURU,13/09/2021,OTHER,AVERAGE,64,Quintal,3114,5410,4546,Mysuru
MYSURU,14/09/2021,OTHER,AVERAGE,37,Quintal,4126,6102,5307,Mysuru
MYSURU,15/09/2021,OTHER,AVERAGE,52,Quintal,3422,7489,5332,Mysuru
MYSURU,16/09/2021,OTHER,AVERAGE,14,Quintal,3303,4559,3890,Mysuru
MYSURU,17/09/2021,OTHER,AVERAGE,62,Quintal,3060,6530,5086,Mysuru
MYSURU,18/09/2021,OTHER,AVERAGE,20,Quintal,2721,5689,4490,Mysuru
MYSURU,20/09/2021,OTHER,AVERAGE,166,Quintal,2721,5800,4569,Mysuru
MYSURU,21/09/2021,OTHER,AVERAGE,67,Quintal,2174,6389,4833,Mysuru
MYSURU,22/09/2021,OTHER,AVERAGE,63,Quintal,4230,6309,5295,Mysuru
MYSURU,23/09/2021,OTHER,AVERAGE,42,Quintal,4000,7412,5122,Mysuru
MYSURU,24/09/2021,OTHER,AVERAGE,108,Quintal,3560,6150,5100,Mysuru
MYSURU,25/09/2021,OTHER,AVERAGE,60,Quintal,3351,4610,3938,Mysuru
MYSURU,27/09/2021,OTHER,AVERAGE,2,Quintal,2908,2908,2908,Mysuru
MYSURU,28/09/2021,OTHER,AVERAGE,182,Quintal,2606,5489,3823,Mysuru
MYSURU,29/09/2021,OTHER,AVERAGE,131,Quintal,3310,6622,4921,Mysuru
MYSURU,30/09/2021,OTHER,AVERAGE,113,Quintal,1200,5829,4777,Mysuru
MYSURU,01/10/2021,OTHER,AVERAGE,74,Quintal,2560,6549,4853,Mysuru
MYSURU,04/10/2021,OTHER,AVERAGE,158,Quintal,3416,7032,5421,Mysuru
MYSURU,07/10/2021,OTHER,AVERAGE,38,Quintal,1810,5670,3445,Mysuru
MYSURU,08/10/2021,OTHER,AVERAGE,32,Quintal,2621,5890,4975,Mysuru
MYSURU,09/10/2021,OTHER,AVERAGE,28,Quintal,4690,6070,5365,Mysuru
MYSURU,11/10/2021,OTHER,AVERAGE,25,Quintal,4030,7712,6139,Mysuru
MYSURU,12/10/2021,OTHER,AVERAGE,19,Quintal,2152,7476,5709,Mysuru
MYSURU,13/10/2021,OTHER,AVERAGE,62,Quintal,2530,6860,5448,Mysuru
MYSURU,18/10/2021,OTHER,AVERAGE,50,Quintal,2755,6589,5139,Mysuru
MYSURU,19/10/2021,OTHER,AVERAGE,50,Quintal,1060,7389,5714,Mysuru
MYSURU,21/10/2021,OTHER,AVERAGE,114,Quintal,4560,7402,5735,Mysuru
MYSURU,22/10/2021,OTHER,AVERAGE,52,Quintal,2051,7070,4907,Mysuru
MYSURU,23/10/2021,OTHER,AVERAGE,107,Quintal,3135,7602,6025,Mysuru
MYSURU,25/10/2021,OTHER,AVERAGE,155,Quintal,2161,7132,5285,Mysuru
MYSURU,26/10/2021,OTHER,AVERAGE,130,Quintal,3060,7090,5393,Mysuru
MYSURU,27/10/2021,OTHER,AVERAGE,111,Quintal,2910,7189,5539,Mysuru
MYSURU,28/10/2021,OTHER,AVERAGE,150,Quintal,2017,7830,5303,Mysuru
MYSURU,29/10/2021,OTHER,AVERAGE,70,Quintal,2884,7320,5447,Mysuru
MYSURU,30/10/2021,OTHER,AVERAGE,49,Quintal,1500,7219,5275,Mysuru
MYSURU,02/11/2021,OTHER,AVERAGE,145,Quintal,2351,6689,4456,Mysuru
MYSURU,04/11/2021,OTHER,AVERAGE,28,Quintal,3136,7418,5913,Mysuru
MYSURU,06/11/2021,OTHER,AVERAGE,50,Quintal,3737,7751,5651,Mysuru
MYSURU,08/11/2021,OTHER,AVERAGE,74,Quintal,4316,7189,5812,Mysuru
MYSURU,09/11/2021,OTHER,AVERAGE,51,Quintal,3289,7189,5508,Mysuru
MYSURU,10/11/2021,OTHER,AVERAGE,29,Quintal,4010,7422,6116,Mysuru
MYSURU,11/11/2021,OTHER,AVERAGE,22,Quintal,3289,7069,5193,Mysuru
MYSURU,12/11/2021,OTHER,AVERAGE,26,Quintal,2350,5310,4033,Mysuru
MYSURU,13/11/2021,OTHER,AVERAGE,18,Quintal,4478,7432,4902,Mysuru
MYSURU,15/11/2021,OTHER,AVERAGE,14,Quintal,2650,6832,3989,Mysuru
MYSURU,16/11/2021,OTHER,AVERAGE,42,Quintal,2560,5261,3990,Mysuru
MYSURU,17/11/2021,OTHER,AVERAGE,10,Quintal,4461,6122,5290,Mysuru
MYSURU,18/11/2021,OTHER,AVERAGE,25,Quintal,2419,5119,3714,Mysuru
MYSURU,19/11/2021,OTHER,AVERAGE,5,Quintal,2760,3130,2942,Mysuru
MYSURU,20/11/2021,OTHER,AVERAGE,8,Quintal,3689,4149,3970,Mysuru
MYSURU,23/11/2021,OTHER,AVERAGE,15,Quintal,4000,6010,5384,Mysuru
MYSURU,24/11/2021,OTHER,AVERAGE,14,Quintal,3664,7462,5346,Mysuru
MYSURU,25/11/2021,OTHER,AVERAGE,25,Quintal,3869,5326,4682,Mysuru
MYSURU,26/11/2021,OTHER,AVERAGE,16,Quintal,2851,7252,5442,Mysuru
