Market,Date,Variety,Grade,Arrivals,Unit,Min,Max,Modal,District
YADGIR,05/01/2021,BIG (WITH SHELL),AVERAGE,106,Quintal,4911,6009,5777,Yadgir
YADGIR,06/01/2021,BIG (WITH SHELL),AVERAGE,15,Quintal,5329,5329,5329,Yadgir
YADGIR,08/01/2021,BIG (WITH SHELL),AVERAGE,36,Quintal,5351,6349,6265,Yadgir
YADGIR,09/01/2021,BIG (WITH SHELL),AVERAGE,109,Quintal,5811,6447,6031,Yadgir
YADGIR,11/01/2021,BIG (WITH SHELL),AVERAGE,167,Quintal,5021,6569,6079,Yadgir
YADGIR,12/01/2021,BIG (WITH SHELL),AVERAGE,252,Quintal,5809,6469,5992,Yadgir
YADGIR,16/01/2021,BIG (WITH SHELL),AVERAGE,499,Quintal,5389,6681,6331,Yadgir
YADGIR,18/01/2021,BIG (WITH SHELL),AVERAGE,622,Quintal,6179,6853,6522,Yadgir
YADGIR,19/01/2021,BIG (WITH SHELL),AVERAGE,809,Quintal,6009,7089,6756,Yadgir
YADGIR,20/01/2021,BIG (WITH SHELL),AVERAGE,633,Quintal,5579,6806,6370,Yadgir
YADGIR,21/01/2021,BIG (WITH SHELL),AVERAGE,1021,Quintal,4549,7094,6661,Yadgir
YADGIR,22/01/2021,BIG (WITH SHELL),AVERAGE,1150,Quintal,4829,7112,6657,Yadgir
YADGIR,23/01/2021,BIG (WITH SHELL),AVERAGE,2107,Quintal,5169,7236,6675,Yadgir
YADGIR,25/01/2021,BIG (WITH SHELL),AVERAGE,3589,Quintal,4269,7317,6349,Yadgir
YADGIR,27/01/2021,BIG (WITH SHELL),AVERAGE,4041,Quintal,4669,7291,6092,Yadgir
YADGIR,28/01/2021,BIG (WITH SHELL),AVERAGE,10048,Quintal,4164,7191,6106,Yadgir
YADGIR,29/01/2021,BIG (WITH SHELL),AVERAGE,8034,Quintal,4124,7216,5858,Yadgir
YADGIR,30/01/2021,BIG (WITH SHELL),AVERAGE,10698,Quintal,4434,7064,5512,Yadgir
YADGIR,01/02/2021,BIG (WITH SHELL),AVERAGE,9325,Quintal,4500,7019,5752,Yadgir
YADGIR,02/02/2021,BIG (WITH SHELL),AVERAGE,13754,Quintal,4252,6719,5581,Yadgir
YADGIR,03/02/2021,BIG (WITH SHELL),AVERAGE,10349,Quintal,4869,6789,5498,Yadgir
YADGIR,04/02/2021,BIG (WITH SHELL),AVERAGE,9743,Quintal,4819,6739,5685,Yadgir
YADGIR,05/02/2021,BIG (WITH SHELL),AVERAGE,10355,Quintal,4856,6809,5733,Yadgir
YADGIR,06/02/2021,BIG (WITH SHELL),AVERAGE,13733,Quintal,4575,6642,5772,Yadgir
YADGIR,08/02/2021,BIG (WITH SHELL),AVERAGE,10882,Quintal,4839,6519,5726,Yadgir
YADGIR,09/02/2021,BIG (WITH SHELL),AVERAGE,13676,Quintal,4859,6534,5731,Yadgir
YADGIR,10/02/2021,BIG (WITH SHELL),AVERAGE,9302,Quintal,4859,6569,5798,Yadgir
YADGIR,12/02/2021,BIG (WITH SHELL),AVERAGE,9538,Quintal,4869,6629,5938,Yadgir
YADGIR,13/02/2021,BIG (WITH SHELL),AVERAGE,16581,Quintal,4869,6622,5891,Yadgir
