Market,Date,Variety,Grade,Arrivals,Unit,Min,Max,Modal,District
BENGALURU,01/01/2021,MEDIUM,AVERAGE,17976,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,02/01/2021,MEDIUM,AVERAGE,15170,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,04/01/2021,MEDIUM,AVERAGE,20087,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,05/01/2021,MEDIUM,AVERAGE,21127,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,06/01/2021,MEDIUM,AVERAGE,18338,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,07/01/2021,MEDIUM,AVERAGE,19536,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,08/01/2021,MEDIUM,AVERAGE,15344,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,11/01/2021,MEDIUM,AVERAGE,42228,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,12/01/2021,MEDIUM,AVERAGE,21228,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,13/01/2021,MEDIUM,AVERAGE,12996,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,15/01/2021,MEDIUM,AVERAGE,17715,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,16/01/2021,MEDIUM,AVERAGE,19165,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,18/01/2021,MEDIUM,AVERAGE,14254,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,19/01/2021,MEDIUM,AVERAGE,21798,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,20/01/2021,MEDIUM,AVERAGE,13816,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,21/01/2021,MEDIUM,AVERAGE,13676,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,22/01/2021,MEDIUM,AVERAGE,17326,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,25/01/2021,MEDIUM,AVERAGE,26605,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,27/01/2021,MEDIUM,AVERAGE,23347,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,28/01/2021,MEDIUM,AVERAGE,24597,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,29/01/2021,MEDIUM,AVERAGE,11551,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,30/01/2021,MEDIUM,AVERAGE,13419,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,01/02/2021,MEDIUM,AVERAGE,19729,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,02/02/2021,MEDIUM,AVERAGE,18102,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,03/02/2021,MEDIUM,AVERAGE,12204,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,04/02/2021,MEDIUM,AVERAGE,15623,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,05/02/2021,MEDIUM,AVERAGE,15492,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,06/02/2021,MEDIUM,AVERAGE,15037,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,08/02/2021,MEDIUM,AVERAGE,15261,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,09/02/2021,MEDIUM,AVERAGE,21583,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,10/02/2021,MEDIUM,AVERAGE,11967,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,11/02/2021,MEDIUM,AVERAGE,19812,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,12/02/2021,MEDIUM,AVERAGE,19369,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,15/02/2021,MEDIUM,AVERAGE,40577,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,16/02/2021,MEDIUM,AVERAGE,22160,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,17/02/2021,MEDIUM,AVERAGE,12773,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,18/02/2021,MEDIUM,AVERAGE,15398,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,19/02/2021,MEDIUM,AVERAGE,16790,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,20/02/2021,MEDIUM,AVERAGE,18959,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,22/02/2021,MEDIUM,AVERAGE,19668,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,23/02/2021,MEDIUM,AVERAGE,23991,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,24/02/2021,MEDIUM,AVERAGE,14127,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,25/02/2021,MEDIUM,AVERAGE,13803,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,26/02/2021,MEDIUM,AVERAGE,17341,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,01/03/2021,MEDIUM,AVERAGE,36364,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,02/03/2021,MEDIUM,AVERAGE,18369,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,03/03/2021,MEDIUM,AVERAGE,10798,Quintal,4000,4400,4200,Bengaluru Urban•
BENGALURU,04/03/2021,MEDIUM,AVERAGE,16589,Quintal,4000,4400,4200,Bengaluru Urban•
