Market,Date,Variety,Grade,Arrivals,Unit,Min,Max,Modal,District
BIDAR,01/01/2021,BROKEN RICE,AVERAGE,100,Quintal,2200,2600,2400,Bidar
BIDAR,02/01/2021,BROKEN RICE,AVERAGE,100,Quintal,2200,2600,2400,Bidar
BIDAR,04/01/2021,BROKEN RICE,AVERAGE,120,Quintal,2200,2600,2400,Bidar
BIDAR,05/01/2021,BROKEN RICE,AVERAGE,110,Quintal,3900,5300,4500,Bidar
BIDAR,06/01/2021,BROKEN RICE,AVERAGE,120,Quintal,2200,2600,2450,Bidar
BIDAR,07/01/2021,BROKEN RICE,AVERAGE,100,Quintal,2200,2600,2400,Bidar
BIDAR,09/01/2021,BROKEN RICE,AVERAGE,100,Quintal,2200,2600,2400,Bidar
BIDAR,11/01/2021,BROKEN RICE,AVERAGE,100,Quintal,2200,2600,2400,Bidar
BIDAR,16/01/2021,BROKEN RICE,AVERAGE,120,Quintal,2200,2600,2400,Bidar
BIDAR,18/01/2021,BROKEN RICE,AVERAGE,90,Quintal,2200,2600,2400,Bidar
BIDAR,19/01/2021,BROKEN RICE,AVERAGE,100,Quintal,2200,2600,2400,Bidar
BIDAR,21/01/2021,BROKEN RICE,AVERAGE,105,Quintal,2200,2600,2400,Bidar
BIDAR,22/01/2021,BROKEN RICE,AVERAGE,100,Quintal,2200,2600,2400,Bidar
BIDAR,23/01/2021,BROKEN RICE,AVERAGE,105,Quintal,2200,2600,2400,Bidar
BIDAR,25/01/2021,BROKEN RICE,AVERAGE,110,Quintal,2200,2600,2400,Bidar
BIDAR,27/01/2021,BROKEN RICE,AVERAGE,120,Quintal,2200,2600,2400,Bidar
BIDAR,28/01/2021,BROKEN RICE,AVERAGE,100,Quintal,2200,2600,2400,Bidar
BIDAR,29/01/2021,BROKEN RICE,AVERAGE,110,Quintal,2200,2600,2400,Bidar
BIDAR,30/01/2021,BROKEN RICE,AVERAGE,100,Quintal,2200,2600,2400,Bidar
BIDAR,01/01/2021,CR 1009 (COARSE) BOILED,AVERAGE,140,Quintal,3900,5300,4500,Bidar
BIDAR,02/01/2021,CR 1009 (COARSE) BOILED,AVERAGE,180,Quintal,3900,5300,4500,Bidar
BIDAR,04/01/2021,CR 1009 (COARSE) BOILED,AVERAGE,150,Quintal,3900,5300,4500,Bidar
BIDAR,05/01/2021,CR 1009 (COARSE) BOILED,AVERAGE,150,Quintal,2200,2550,2350,Bidar
BIDAR,06/01/2021,CR 1009 (COARSE) BOILED,AVERAGE,150,Quintal,3900,5300,4500,Bidar
BIDAR,07/01/2021,CR 1009 (COARSE) BOILED,AVERAGE,130,Quintal,3900,5300,4500,Bidar
BIDAR,09/01/2021,CR 1009 (COARSE) BOILED,AVERAGE,120,Quintal,3900,5400,4500,Bidar
BIDAR,11/01/2021,CR 1009 (COARSE) BOILED,AVERAGE,120,Quintal,3900,5300,4500,Bidar
BIDAR,16/01/2021,CR 1009 (COARSE) BOILED,AVERAGE,150,Quintal,3900,5500,4600,Bidar
BIDAR,18/01/2021,CR 1009 (COARSE) BOILED,AVERAGE,115,Quintal,3900,5500,4600,Bidar
BIDAR,19/01/2021,CR 1009 (COARSE) BOILED,AVERAGE,110,Quintal,3900,5400,4500,Bidar
BIDAR,20/01/2021,CR 1009 (COARSE) BOILED,AVERAGE,120,Quintal,3900,5600,4500,Bidar
BIDAR,21/01/2021,CR 1009 (COARSE) BOILED,AVERAGE,120,Quintal,3900,5500,4500,Bidar
BIDAR,22/01/2021,CR 1009 (COARSE) BOILED,AVERAGE,130,Quintal,3900,5450,4500,Bidar
BIDAR,23/01/2021,CR 1009 (COARSE) BOILED,AVERAGE,130,Quintal,3900,5400,4500,Bidar
BIDAR,25/01/2021,CR 1009 (COARSE) BOILED,AVERAGE,140,Quintal,3900,5400,4500,Bidar
BIDAR,27/01/2021,CR 1009 (COARSE) BOILED,AVERAGE,145,Quintal,3900,5400,4500,Bidar
BIDAR,28/01/2021,CR 1009 (COARSE) BOILED,AVERAGE,125,Quintal,3900,5400,4500,Bidar
BIDAR,29/01/2021,CR 1009 (COARSE) BOILED,AVERAGE,150,Quintal,3900,5400,4500,Bidar
BIDAR,30/01/2021,CR 1009 (COARSE) BOILED,AVERAGE,130,Quintal,3900,5400,4500,Bidar
BIDAR,01/02/2021,BROKEN RICE,AVERAGE,100,Quintal,2200,2600,2400,Bidar
BIDAR,02/02/2021,BROKEN RICE,AVERAGE,110,Quintal,2200,2600,2400,Bidar
BIDAR,03/02/2021,BROKEN RICE,AVERAGE,100,Quintal,2200,2600,2400,Bidar
BIDAR,04/02/2021,BROKEN RICE,AVERAGE,110,Quintal,2200,2600,2400,Bidar
BIDAR,05/02/2021,BROKEN RICE,AVERAGE,100,Quintal,2200,2600,2400,Bidar
BIDAR,06/02/2021,BROKEN RICE,AVERAGE,100,Quintal,2200,2600,2400,Bidar
BIDAR,08/02/2021,BROKEN RICE,AVERAGE,40,Quintal,2400,2800,2600,Bidar
BIDAR,09/02/2021,BROKEN RICE,AVERAGE,115,Quintal,2200,2950,2600,Bidar
BIDAR,10/02/2021,BROKEN RICE,AVERAGE,105,Quintal,2200,2650,2450,Bidar
BIDAR,12/02/2021,BROKEN RICE,AVERAGE,100,Quintal,2250,2650,2450,Bidar
BIDAR,13/02/2021,BROKEN RICE,AVERAGE,100,Quintal,2250,2650,2450,Bidar
BIDAR,15/02/2021,BROKEN RICE,AVERAGE,105,Quintal,2250,2650,2450,Bidar
BIDAR,16/02/2021,BROKEN RICE,AVERAGE,100,Quintal,2200,2600,2400,Bidar
BIDAR,17/02/2021,BROKEN RICE,AVERAGE,100,Quintal,2200,2600,2400,Bidar
BIDAR,18/02/2021,BROKEN RICE,AVERAGE,121,Quintal,2200,2600,2400,Bidar
BIDAR,19/02/2021,BROKEN RICE,AVERAGE,115,Quintal,2200,2600,2400,Bidar
BIDAR,20/02/2021,BROKEN RICE,AVERAGE,105,Quintal,2200,2600,2400,Bidar
BIDAR,22/02/2021,BROKEN RICE,AVERAGE,100,Quintal,2250,2650,2450,Bidar
BIDAR,23/02/2021,BROKEN RICE,AVERAGE,100,Quintal,2250,2650,2450,Bidar
BIDAR,24/02/2021,BROKEN RICE,AVERAGE,100,Quintal,2200,2600,2400,Bidar
BIDAR,25/02/2021,BROKEN RICE,AVERAGE,100,Quintal,2200,2600,2400,Bidar
BIDAR,26/02/2021,BROKEN RICE,AVERAGE,105,Quintal,2250,2650,2450,Bidar
BIDAR,01/02/2021,CR 1009 (COARSE) BOILED,AVERAGE,110,Quintal,3900,5400,4500,Bidar
BIDAR,02/02/2021,CR 1009 (COARSE) BOILED,AVERAGE,120,Quintal,3900,5400,4500,Bidar
BIDAR,03/02/2021,CR 1009 (COARSE) BOILED,AVERAGE,125,Quintal,3900,5400,4500,Bidar
BIDAR,04/02/2021,CR 1009 (COARSE) BOILED,AVERAGE,140,Quintal,3900,5400,4500,Bidar
BIDAR,05/02/2021,CR 1009 (COARSE) BOILED,AVERAGE,120,Quintal,3900,5400,4500,Bidar
BIDAR,06/02/2021,CR 1009 (COARSE) BOILED,AVERAGE,130,Quintal,3900,5400,4500,Bidar
BIDAR,08/02/2021,CR 1009 (COARSE) BOILED,AVERAGE,140,Quintal,3900,5400,4500,Bidar
BIDAR,09/02/2021,CR 1009 (COARSE) BOILED,AVERAGE,110,Quintal,3900,5400,4500,Bidar
BIDAR,10/02/2021,CR 1009 (COARSE) BOILED,AVERAGE,125,Quintal,3900,5400,4500,Bidar
BIDAR,12/02/2021,CR 1009 (COARSE) BOILED,AVERAGE,145,Quintal,3900,5500,4500,Bidar
BIDAR,13/02/2021,CR 1009 (COARSE) BOILED,AVERAGE,130,Quintal,3900,5500,4500,Bidar
BIDAR,15/02/2021,CR 1009 (COARSE) BOILED,AVERAGE,150,Quintal,3900,5500,4500,Bidar
BIDAR,16/02/2021,CR 1009 (COARSE) BOILED,AVERAGE,120,Quintal,3900,5400,4500,Bidar
BIDAR,17/02/2021,CR 1009 (COARSE) BOILED,AVERAGE,140,Quintal,3900,5400,4500,Bidar
BIDAR,18/02/2021,CR 1009 (COARSE) BOILED,AVERAGE,120,Quintal,3900,5400,4500,Bidar
BIDAR,19/02/2021,CR 1009 (COARSE) BOILED,AVERAGE,110,Quintal,3900,5450,4500,Bidar
BIDAR,20/02/2021,CR 1009 (COARSE) BOILED,AVERAGE,140,Quintal,3900,5400,4500,Bidar
BIDAR,22/02/2021,CR 1009 (COARSE) BOILED,AVERAGE,130,Quintal,3900,5400,4500,Bidar
BIDAR,23/02/2021,CR 1009 (COARSE) BOILED,AVERAGE,120,Quintal,3900,5400,4500,Bidar
BIDAR,24/02/2021,CR 1009 (COARSE) BOILED,AVERAGE,140,Quintal,3900,5400,4500,Bidar
