Market,Date,Variety,Grade,Arrivals,Unit,Min,Max,Modal,District
SHIVAMOGGA,30/01/2021,BROKEN RICE,AVERAGE,40,Quintal,710,1200,955,Shivamogga
SHIVAMOGGA,01/01/2021,COARSE,AVERAGE,39,Quintal,1850,2600,2225,Shivamogga
SHIVAMOGGA,02/01/2021,COARSE,AVERAGE,13,Quintal,1900,2500,2200,Shivamogga
SHIVAMOGGA,04/01/2021,COARSE,AVERAGE,231,Quintal,1850,2600,2225,Shivamogga
SHIVAMOGGA,05/01/2021,COARSE,AVERAGE,24,Quintal,1900,2500,2200,Shivamogga
SHIVAMOGGA,06/01/2021,COARSE,AVERAGE,40,Quintal,1850,2600,2225,Shivamogga
SHIVAMOGGA,07/01/2021,COARSE,AVERAGE,32,Quintal,1900,2500,2200,Shivamogga
SHIVAMOGGA,08/01/2021,COARSE,AVERAGE,52,Quintal,1850,2600,2225,Shivamogga
SHIVAMOGGA,11/01/2021,COARSE,AVERAGE,74,Quintal,1900,2700,2300,Shivamogga
SHIVAMOGGA,12/01/2021,COARSE,AVERAGE,36,Quintal,1850,2600,2225,Shivamogga
SHIVAMOGGA,13/01/2021,COARSE,AVERAGE,24,Quintal,1900,2700,2300,Shivamogga
SHIVAMOGGA,15/01/2021,COARSE,AVERAGE,59,Quintal,1850,2600,2225,Shivamogga
SHIVAMOGGA,16/01/2021,COARSE,AVERAGE,30,Quintal,1900,2700,2300,Shivamogga
SHIVAMOGGA,18/01/2021,COARSE,AVERAGE,258,Quintal,1850,2600,2225,Shivamogga
SHIVAMOGGA,19/01/2021,COARSE,AVERAGE,22,Quintal,1900,2700,2300,Shivamogga
SHIVAMOGGA,20/01/2021,COARSE,AVERAGE,28,Quintal,1850,3600,2225,Shivamogga
SHIVAMOGGA,21/01/2021,COARSE,AVERAGE,23,Quintal,1850,2600,2225,Shivamogga
SHIVAMOGGA,22/01/2021,COARSE,AVERAGE,23,Quintal,1850,2600,2225,Shivamogga
SHIVAMOGGA,25/01/2021,COARSE,AVERAGE,37,Quintal,1850,2600,2225,Shivamogga
SHIVAMOGGA,27/01/2021,COARSE,AVERAGE,25,Quintal,1850,2600,2225,Shivamogga
SHIVAMOGGA,28/01/2021,COARSE,AVERAGE,40,Quintal,1850,2600,2225,Shivamogga
SHIVAMOGGA,29/01/2021,COARSE,AVERAGE,29,Quintal,1850,2600,2225,Shivamogga
SHIVAMOGGA,30/01/2021,COARSE,AVERAGE,150,Quintal,1850,2600,2225,Shivamogga
SHIVAMOGGA,01/01/2021,FINE,AVERAGE,89,Quintal,3500,6200,4850,Shivamogga
SHIVAMOGGA,02/01/2021,FINE,AVERAGE,41,Quintal,3600,6200,4900,Shivamogga
SHIVAMOGGA,04/01/2021,FINE,AVERAGE,638,Quintal,3500,6200,4850,Shivamogga
SHIVAMOGGA,05/01/2021,FINE,AVERAGE,53,Quintal,3600,6200,4900,Shivamogga
SHIVAMOGGA,06/01/2021,FINE,AVERAGE,70,Quintal,2700,4800,3750,Shivamogga
SHIVAMOGGA,07/01/2021,FINE,AVERAGE,114,Quintal,3600,6200,4900,Shivamogga
SHIVAMOGGA,08/01/2021,FINE,AVERAGE,132,Quintal,3500,6200,4850,Shivamogga
SHIVAMOGGA,11/01/2021,FINE,AVERAGE,173,Quintal,3600,6800,5200,Shivamogga
SHIVAMOGGA,12/01/2021,FINE,AVERAGE,104,Quintal,3500,6800,5150,Shivamogga
SHIVAMOGGA,13/01/2021,FINE,AVERAGE,57,Quintal,3600,6800,5200,Shivamogga
SHIVAMOGGA,15/01/2021,FINE,AVERAGE,148,Quintal,3500,6800,5150,Shivamogga
SHIVAMOGGA,16/01/2021,FINE,AVERAGE,70,Quintal,3600,6800,5200,Shivamogga
SHIVAMOGGA,18/01/2021,FINE,AVERAGE,780,Quintal,3500,6800,5150,Shivamogga
