Market,Date,Variety,Grade,Arrivals,Unit,Min,Max,Modal,District
BENGALURU,01/01/2021,TUR DAL,AVERAGE,1535,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,02/01/2021,TUR DAL,AVERAGE,2300,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,04/01/2021,TUR DAL,AVERAGE,3034,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,05/01/2021,TUR DAL,AVERAGE,1302,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,06/01/2021,TUR DAL,AVERAGE,1923,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,07/01/2021,TUR DAL,AVERAGE,1829,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,08/01/2021,TUR DAL,AVERAGE,1889,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,11/01/2021,TUR DAL,AVERAGE,2814,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,12/01/2021,TUR DAL,AVERAGE,4855,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,13/01/2021,TUR DAL,AVERAGE,2697,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,15/01/2021,TUR DAL,AVERAGE,4049,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,16/01/2021,TUR DAL,AVERAGE,1280,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,18/01/2021,TUR DAL,AVERAGE,2553,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,19/01/2021,TUR DAL,AVERAGE,2445,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,20/01/2021,TUR DAL,AVERAGE,1230,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,21/01/2021,TUR DAL,AVERAGE,1977,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,22/01/2021,TUR DAL,AVERAGE,1899,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,25/01/2021,TUR DAL,AVERAGE,4482,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,27/01/2021,TUR DAL,AVERAGE,2718,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,28/01/2021,TUR DAL,AVERAGE,1840,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,29/01/2021,TUR DAL,AVERAGE,2139,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,30/01/2021,TUR DAL,AVERAGE,1448,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,01/02/2021,TUR DAL,AVERAGE,968,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,02/02/2021,TUR DAL,AVERAGE,3233,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,03/02/2021,TUR DAL,AVERAGE,2254,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,04/02/2021,TUR DAL,AVERAGE,1461,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,05/02/2021,TUR DAL,AVERAGE,1727,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,06/02/2021,TUR DAL,AVERAGE,1886,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,08/02/2021,TUR DAL,AVERAGE,2657,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,09/02/2021,TUR DAL,AVERAGE,4879,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,10/02/2021,TUR DAL,AVERAGE,4885,Quintal,9800,11800,10800,Bengaluru Urban•
BENGALURU,11/02/2021,TUR DAL,AVERAGE,5943,Quintal,9800,11800,10800,Bengaluru Urban•
