Market,Date,Variety,Grade,Arrivals,Unit,Min,Max,Modal,District
MYSURU,07/01/2021,TUR DAL,AVERAGE,10,Quintal,4233,4434,4346,Mysuru
MYSURU,01/07/2021,TUR DAL,AVERAGE,140,Quintal,10000,11000,10500,Mysuru
MYSURU,02/07/2021,TUR DAL,AVERAGE,34,Quintal,10000,11100,10500,Mysuru
MYSURU,03/07/2021,TUR DAL,AVERAGE,239,Quintal,10000,11100,10500,Mysuru
MYSURU,04/07/2021,TUR DAL,AVERAGE,40,Quintal,10000,11100,10550,Mysuru
MYSURU,05/07/2021,TUR DAL,AVERAGE,175,Quintal,10000,11100,10550,Mysuru
MYSURU,06/07/2021,TUR DAL,AVERAGE,109,Quintal,10000,11100,10550,Mysuru
MYSURU,07/07/2021,TUR DAL,AVERAGE,250,Quintal,10000,11100,10550,Mysuru
MYSURU,08/07/2021,TUR DAL,AVERAGE,146,Quintal,10000,11100,10550,Mysuru
MYSURU,09/07/2021,TUR DAL,AVERAGE,185,Quintal,10000,11100,10550,Mysuru
MYSURU,10/07/2021,TUR DAL,AVERAGE,398,Quintal,10000,11100,10550,Mysuru
MYSURU,12/07/2021,TUR DAL,AVERAGE,140,Quintal,10000,12000,11000,Mysuru
MYSURU,13/07/2021,TUR DAL,AVERAGE,428,Quintal,10000,12000,11000,Mysuru
MYSURU,15/07/2021,TUR DAL,AVERAGE,475,Quintal,10000,12000,11000,Mysuru
MYSURU,16/07/2021,TUR DAL,AVERAGE,158,Quintal,10000,12000,11000,Mysuru
MYSURU,17/07/2021,TUR DAL,AVERAGE,170,Quintal,10000,12000,11000,Mysuru
MYSURU,19/07/2021,TUR DAL,AVERAGE,610,Quintal,10000,11000,10500,Mysuru
MYSURU,20/07/2021,TUR DAL,AVERAGE,190,Quintal,10000,11000,10500,Mysuru
MYSURU,22/07/2021,TUR DAL,AVERAGE,448,Quintal,10000,11200,10600,Mysuru
MYSURU,23/07/2021,TUR DAL,AVERAGE,90,Quintal,9800,11000,10400,Mysuru
MYSURU,24/07/2021,TUR DAL,AVERAGE,100,Quintal,10000,11500,10750,Mysuru
MYSURU,28/07/2021,TUR DAL,AVERAGE,198,Quintal,10000,11500,10750,Mysuru
MYSURU,31/07/2021,TUR DAL,AVERAGE,213,Quintal,1000,11500,10750,Mysuru
MYSURU,18/08/2021,TUR DAL,AVERAGE,195,Quintal,7000,8500,7500,Mysuru
MYSURU,19/08/2021,TUR DAL,AVERAGE,217,Quintal,8000,9000,8500,Mysuru
MYSURU,20/08/2021,TUR DAL,AVERAGE,235,Quintal,8000,9000,8500,Mysuru
MYSURU,21/08/2021,TUR DAL,AVERAGE,172,Quintal,8000,9000,8500,Mysuru
MYSURU,23/08/2021,TUR DAL,AVERAGE,500,Quintal,8000,9000,8500,Mysuru
MYSURU,26/08/2021,TUR DAL,AVERAGE,58,Quintal,7000,8500,7750,Mysuru
MYSURU,30/08/2021,TUR DAL,AVERAGE,665,Quintal,7000,8500,7750,Mysuru
MYSURU,31/08/2021,TUR DAL,AVERAGE,489,Quintal,7000,8500,7750,Mysuru
MYSURU,01/09/2021,TUR DAL,AVERAGE,288,Quintal,10000,11000,10500,Mysuru
MYSURU,02/09/2021,TUR DAL,AVERAGE,324,Quintal,10000,11000,10500,Mysuru
MYSURU,04/09/2021,TUR DAL,AVERAGE,225,Quintal,10000,11000,10500,Mysuru
MYSURU,06/09/2021,TUR DAL,AVERAGE,348,Quintal,10000,11000,10500,Mysuru
MYSURU,07/09/2021,TUR DAL,AVERAGE,278,Quintal,10000,11000,10500,Mysuru
MYSURU,11/09/2021,TUR DAL,AVERAGE,147,Quintal,10000,11000,10500,Mysuru
MYSURU,13/09/2021,TUR DAL,AVERAGE,537,Quintal,10000,11000,10500,Mysuru
MYSURU,14/09/2021,TUR DAL,AVERAGE,138,Quintal,10000,11000,10500,Mysuru
MYSURU,15/09/2021,TUR DAL,AVERAGE,456,Quintal,10000,11000,10500,Mysuru
MYSURU,17/09/2021,TUR DAL,AVERAGE,120,Quintal,9500,11000,10250,Mysuru
MYSURU,18/09/2021,TUR DAL,AVERAGE,450,Quintal,9500,11000,10250,Mysuru
MYSURU,20/09/2021,TUR DAL,AVERAGE,325,Quintal,9500,11000,10250,Mysuru
MYSURU,21/09/2021,TUR DAL,AVERAGE,30,Quintal,7500,9500,9000,Mysuru
MYSURU,22/09/2021,TUR DAL,AVERAGE,105,Quintal,8500,9800,9400,Mysuru
MYSURU,23/09/2021,TUR DAL,AVERAGE,140,Quintal,9000,9500,9200,Mysuru
MYSURU,24/09/2021,TUR DAL,AVERAGE,125,Quintal,9200,9800,9500,Mysuru
MYSURU,25/09/2021,TUR DAL,AVERAGE,206,Quintal,8900,9800,9200,Mysuru
MYSURU,27/09/2021,TUR DAL,AVERAGE,223,Quintal,9500,10800,10200,Mysuru
MYSURU,28/09/2021,TUR DAL,AVERAGE,530,Quintal,9000,9400,9200,Mysuru
MYSURU,29/09/2021,TUR DAL,AVERAGE,120,Quintal,9800,11000,10500,Mysuru
