Market,Date,Variety,Grade,Arrivals,Unit,Min,Max,Modal,District
SHIVAMOGGA,01/01/2021,TUR DAL,AVERAGE,9,Quintal,8000,10200,9100,Shivamogga
SHIVAMOGGA,02/01/2021,TUR DAL,AVERAGE,29,Quintal,8000,10200,9100,Shivamogga
SHIVAMOGGA,04/01/2021,TUR DAL,AVERAGE,42,Quintal,8000,10200,9100,Shivamogga
SHIVAMOGGA,05/01/2021,TUR DAL,AVERAGE,3,Quintal,8000,10200,9100,Shivamogga
SHIVAMOGGA,06/01/2021,TUR DAL,AVERAGE,10,Quintal,8000,10200,9100,Shivamogga
SHIVAMOGGA,07/01/2021,TUR DAL,AVERAGE,12,Quintal,8000,10200,9100,Shivamogga
SHIVAMOGGA,08/01/2021,TUR DAL,AVERAGE,25,Quintal,8000,10200,10100,Shivamogga
SHIVAMOGGA,11/01/2021,TUR DAL,AVERAGE,42,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,12/01/2021,TUR DAL,AVERAGE,9,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,13/01/2021,TUR DAL,AVERAGE,12,Quintal,3000,10000,9000,Shivamogga
SHIVAMOGGA,15/01/2021,TUR DAL,AVERAGE,14,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,16/01/2021,TUR DAL,AVERAGE,11,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,18/01/2021,TUR DAL,AVERAGE,93,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,19/01/2021,TUR DAL,AVERAGE,10,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,20/01/2021,TUR DAL,AVERAGE,15,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,21/01/2021,TUR DAL,AVERAGE,13,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,22/01/2021,TUR DAL,AVERAGE,10,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,25/01/2021,TUR DAL,AVERAGE,13,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,27/01/2021,TUR DAL,AVERAGE,111,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,28/01/2021,TUR DAL,AVERAGE,21,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,29/01/2021,TUR DAL,AVERAGE,14,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,30/01/2021,TUR DAL,AVERAGE,2403,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,01/02/2021,TUR DAL,AVERAGE,13,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,02/02/2021,TUR DAL,AVERAGE,16,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,03/02/2021,TUR DAL,AVERAGE,207,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,04/02/2021,TUR DAL,AVERAGE,5,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,05/02/2021,TUR DAL,AVERAGE,17,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,06/02/2021,TUR DAL,AVERAGE,22,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,08/02/2021,TUR DAL,AVERAGE,24,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,09/02/2021,TUR DAL,AVERAGE,13,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,10/02/2021,TUR DAL,AVERAGE,225,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,11/02/2021,TUR DAL,AVERAGE,16,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,12/02/2021,TUR DAL,AVERAGE,11,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,15/02/2021,TUR DAL,AVERAGE,19,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,16/02/2021,TUR DAL,AVERAGE,26,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,17/02/2021,TUR DAL,AVERAGE,19,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,18/02/2021,TUR DAL,AVERAGE,57,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,19/02/2021,TUR DAL,AVERAGE,36,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,20/02/2021,TUR DAL,AVERAGE,22,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,22/02/2021,TUR DAL,AVERAGE,11,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,23/02/2021,TUR DAL,AVERAGE,14,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,24/02/2021,TUR DAL,AVERAGE,10,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,25/02/2021,TUR DAL,AVERAGE,12,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,26/02/2021,TUR DAL,AVERAGE,3,Quintal,8000,10000,9000,Shivamogga
SHIVAMOGGA,01/03/2021,TUR DAL,AVERAGE,39,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,02/03/2021,TUR DAL,AVERAGE,11,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,03/03/2021,TUR DAL,AVERAGE,14,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,04/03/2021,TUR DAL,AVERAGE,25,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,05/03/2021,TUR DAL,AVERAGE,48,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,06/03/2021,TUR DAL,AVERAGE,26,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,08/03/2021,TUR DAL,AVERAGE,18,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,09/03/2021,TUR DAL,AVERAGE,19,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,10/03/2021,TUR DAL,AVERAGE,152,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,12/03/2021,TUR DAL,AVERAGE,32,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,15/03/2021,TUR DAL,AVERAGE,28,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,16/03/2021,TUR DAL,AVERAGE,85,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,17/03/2021,TUR DAL,AVERAGE,19,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,18/03/2021,TUR DAL,AVERAGE,24,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,19/03/2021,TUR DAL,AVERAGE,17,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,20/03/2021,TUR DAL,AVERAGE,20,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,22/03/2021,TUR DAL,AVERAGE,22,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,23/03/2021,TUR DAL,AVERAGE,44,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,24/03/2021,TUR DAL,AVERAGE,16,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,25/03/2021,TUR DAL,AVERAGE,23,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,26/03/2021,TUR DAL,AVERAGE,85,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,29/03/2021,TUR DAL,AVERAGE,65,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,30/03/2021,TUR DAL,AVERAGE,13,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,31/03/2021,TUR DAL,AVERAGE,48,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,01/04/2021,TUR DAL,AVERAGE,61,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,03/04/2021,TUR DAL,AVERAGE,122,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,05/04/2021,TUR DAL,AVERAGE,44,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,06/04/2021,TUR DAL,AVERAGE,45,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,07/04/2021,TUR DAL,AVERAGE,55,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,08/04/2021,TUR DAL,AVERAGE,27,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,09/04/2021,TUR DAL,AVERAGE,76,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,12/04/2021,TUR DAL,AVERAGE,59,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,15/04/2021,TUR DAL,AVERAGE,63,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,16/04/2021,TUR DAL,AVERAGE,70,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,17/04/2021,TUR DAL,AVERAGE,145,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,19/04/2021,TUR DAL,AVERAGE,51,Quintal,8500,11000,10000,Shivamogga
SHIVAMOGGA,20/04/2021,TUR DAL,AVERAGE,36,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,21/04/2021,TUR DAL,AVERAGE,174,Quintal,8500,11000,10000,Shivamogga
SHIVAMOGGA,22/04/2021,TUR DAL,AVERAGE,38,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,23/04/2021,TUR DAL,AVERAGE,125,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,26/04/2021,TUR DAL,AVERAGE,41,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,27/04/2021,TUR DAL,AVERAGE,66,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,28/04/2021,TUR DAL,AVERAGE,103,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,29/04/2021,TUR DAL,AVERAGE,20,Quintal,8500,11000,9750,Shivamogga
SHIVAMOGGA,30/04/2021,TUR DAL,AVERAGE,110,Quintal,8500,11000,9750,Shivamogga
SHIVAMOGGA,03/05/2021,TUR DAL,AVERAGE,49,Quintal,8500,11000,9750,Shivamogga
SHIVAMOGGA,04/05/2021,TUR DAL,AVERAGE,81,Quintal,8500,11000,9750,Shivamogga
SHIVAMOGGA,05/05/2021,TUR DAL,AVERAGE,76,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,06/05/2021,TUR DAL,AVERAGE,44,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,07/05/2021,TUR DAL,AVERAGE,41,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,10/05/2021,TUR DAL,AVERAGE,106,Quintal,8500,11000,9750,Shivamogga
SHIVAMOGGA,11/05/2021,TUR DAL,AVERAGE,238,Quintal,8500,11000,9750,Shivamogga
SHIVAMOGGA,12/05/2021,TUR DAL,AVERAGE,237,Quintal,9000,11000,10000,Shivamogga
SHIVAMOGGA,13/05/2021,TUR DAL,AVERAGE,400,Quintal,8500,11000,9750,Shivamogga
SHIVAMOGGA,18/05/2021,TUR DAL,AVERAGE,283,Quintal,9000,11000,10000,Shivamogga
