Market,Date,Variety,Grade,Arrivals,Unit,Min,Max,Modal,District
BENGALURU,01/01/2021,LOCAL,AVERAGE,401,Quintal,2500,2800,2650,Bengaluru Urban•
BENGALURU,02/01/2021,LOCAL,AVERAGE,447,Quintal,2500,2800,2650,Bengaluru Urban•
BENGALURU,04/01/2021,LOCAL,AVERAGE,1380,Quintal,2500,2800,2650,Bengaluru Urban•
BENGALURU,05/01/2021,LOCAL,AVERAGE,1285,Quintal,2500,2800,2650,Bengaluru Urban•
BENGALURU,06/01/2021,LOCAL,AVERAGE,272,Quintal,2500,2800,2650,Bengaluru Urban•
BENGALURU,07/01/2021,LOCAL,AVERAGE,80,Quintal,2500,2800,2650,Bengaluru Urban•
BENGALURU,08/01/2021,LOCAL,AVERAGE,892,Quintal,2500,2800,2650,Bengaluru Urban•
BENGALURU,11/01/2021,LOCAL,AVERAGE,2479,Quintal,2500,2800,2650,Bengaluru Urban•
BENGALURU,12/01/2021,LOCAL,AVERAGE,130,Quintal,2500,2800,2650,Bengaluru Urban•
BENGALURU,13/01/2021,LOCAL,AVERAGE,326,Quintal,2500,2800,2650,Bengaluru Urban•
BENGALURU,15/01/2021,LOCAL,AVERAGE,3041,Quintal,2500,2800,2650,Bengaluru Urban•
BENGALURU,16/01/2021,LOCAL,AVERAGE,1211,Quintal,2500,2800,2650,Bengaluru Urban•
BENGALURU,18/01/2021,LOCAL,AVERAGE,1235,Quintal,2500,2800,2650,Bengaluru Urban•
BENGALURU,19/01/2021,LOCAL,AVERAGE,931,Quintal,2500,2800,2650,Bengaluru Urban•
BENGALURU,20/01/2021,LOCAL,AVERAGE,502,Quintal,2500,2800,2650,Bengaluru Urban•
BENGALURU,21/01/2021,LOCAL,AVERAGE,40,Quintal,2500,2800,2650,Bengaluru Urban•
BENGALURU,22/01/2021,LOCAL,AVERAGE,250,Quintal,2500,2800,2650,Bengaluru Urban•
BENGALURU,25/01/2021,LOCAL,AVERAGE,1074,Quintal,2500,2800,2650,Bengaluru Urban•
BENGALURU,27/01/2021,LOCAL,AVERAGE,2032,Quintal,2500,2800,2650,Bengaluru Urban•
