Market,Date,Variety,Grade,Arrivals,Unit,Min,Max,Modal,District
BIDAR,01/01/2021,RED,AVERAGE,40,Quintal,2400,2900,2700,Bidar
BIDAR,02/01/2021,RED,AVERAGE,45,Quintal,2400,2900,2700,Bidar
BIDAR,04/01/2021,RED,AVERAGE,50,Quintal,2400,2900,2700,Bidar
BIDAR,05/01/2021,RED,AVERAGE,35,Quintal,2400,2850,2700,Bidar
BIDAR,06/01/2021,RED,AVERAGE,60,Quintal,2400,2850,2700,Bidar
BIDAR,07/01/2021,RED,AVERAGE,40,Quintal,2440,2900,2700,Bidar
BIDAR,09/01/2021,RED,AVERAGE,30,Quintal,2400,2900,2700,Bidar
BIDAR,11/01/2021,RED,AVERAGE,40,Quintal,2400,2900,2700,Bidar
BIDAR,16/01/2021,RED,AVERAGE,60,Quintal,2400,2900,2700,Bidar
BIDAR,18/01/2021,RED,AVERAGE,40,Quintal,2400,2800,2600,Bidar
BIDAR,19/01/2021,RED,AVERAGE,30,Quintal,2400,2800,2600,Bidar
BIDAR,20/01/2021,RED,AVERAGE,35,Quintal,2400,2800,2600,Bidar
BIDAR,21/01/2021,RED,AVERAGE,50,Quintal,2400,2800,2600,Bidar
BIDAR,22/01/2021,RED,AVERAGE,40,Quintal,2400,2800,2600,Bidar
BIDAR,23/01/2021,RED,AVERAGE,40,Quintal,2400,2800,2600,Bidar
BIDAR,25/01/2021,RED,AVERAGE,35,Quintal,2400,3000,2700,Bidar
BIDAR,27/01/2021,RED,AVERAGE,40,Quintal,2400,2800,2600,Bidar
BIDAR,28/01/2021,RED,AVERAGE,45,Quintal,2400,2800,2600,Bidar
BIDAR,29/01/2021,RED,AVERAGE,30,Quintal,2400,2800,2600,Bidar
BIDAR,30/01/2021,RED,AVERAGE,40,Quintal,2400,2800,2600,Bidar
BIDAR,01/02/2021,RED,AVERAGE,35,Quintal,2400,2800,2600,Bidar
BIDAR,02/02/2021,RED,AVERAGE,45,Quintal,2400,2800,2600,Bidar
BIDAR,03/02/2021,RED,AVERAGE,40,Quintal,2400,2800,2600,Bidar
BIDAR,04/02/2021,RED,AVERAGE,50,Quintal,2400,2800,2600,Bidar
BIDAR,05/02/2021,RED,AVERAGE,45,Quintal,2400,2800,2600,Bidar
BIDAR,06/02/2021,RED,AVERAGE,35,Quintal,2400,2800,2600,Bidar
BIDAR,08/02/2021,RED,AVERAGE,40,Quintal,2400,2800,2600,Bidar
BIDAR,09/02/2021,RED,AVERAGE,45,Quintal,2400,2800,2600,Bidar
BIDAR,10/02/2021,RED,AVERAGE,35,Quintal,2450,2850,2650,Bidar
BIDAR,12/02/2021,RED,AVERAGE,45,Quintal,2400,2850,2650,Bidar
BIDAR,13/02/2021,RED,AVERAGE,50,Quintal,2400,2800,2690,Bidar
BIDAR,15/02/2021,RED,AVERAGE,40,Quintal,2400,2850,2650,Bidar
BIDAR,16/02/2021,RED,AVERAGE,35,Quintal,2400,2800,2600,Bidar
BIDAR,17/02/2021,RED,AVERAGE,50,Quintal,2450,2850,2650,Bidar
BIDAR,18/02/2021,RED,AVERAGE,40,Quintal,2400,2800,2600,Bidar
BIDAR,19/02/2021,RED,AVERAGE,35,Quintal,2400,2800,2600,Bidar
BIDAR,20/02/2021,RED,AVERAGE,50,Quintal,2400,2800,2600,Bidar
BIDAR,22/02/2021,RED,AVERAGE,40,Quintal,2400,2800,2600,Bidar
BIDAR,23/02/2021,RED,AVERAGE,40,Quintal,2400,2800,2600,Bidar
BIDAR,24/02/2021,RED,AVERAGE,45,Quintal,2400,2800,2600,Bidar
BIDAR,25/02/2021,RED,AVERAGE,40,Quintal,2400,2800,2600,Bidar
BIDAR,26/02/2021,RED,AVERAGE,45,Quintal,2400,2800,2600,Bidar
BIDAR,01/03/2021,RED,AVERAGE,40,Quintal,2450,2850,2600,Bidar
BIDAR,02/03/2021,RED,AVERAGE,40,Quintal,2400,2800,2600,Bidar
BIDAR,03/03/2021,RED,AVERAGE,35,Quintal,2450,2850,2650,Bidar
BIDAR,04/03/2021,RED,AVERAGE,50,Quintal,2450,2850,2650,Bidar
BIDAR,05/03/2021,RED,AVERAGE,35,Quintal,2400,2800,2600,Bidar
BIDAR,06/03/2021,RED,AVERAGE,50,Quintal,2400,2800,2600,Bidar
BIDAR,08/03/2021,RED,AVERAGE,40,Quintal,2400,2800,2600,Bidar
BIDAR,09/03/2021,RED,AVERAGE,40,Quintal,2400,2800,2600,Bidar
BIDAR,10/03/2021,RED,AVERAGE,40,Quintal,2400,2800,2600,Bidar
BIDAR,15/03/2021,RED,AVERAGE,40,Quintal,2400,2800,2600,Bidar
BIDAR,16/03/2021,RED,AVERAGE,50,Quintal,2400,2800,2600,Bidar
BIDAR,17/03/2021,RED,AVERAGE,100,Quintal,1800,2400,2000,Bidar
BIDAR,18/03/2021,RED,AVERAGE,150,Quintal,1600,2300,1900,Bidar
BIDAR,19/03/2021,RED,AVERAGE,150,Quintal,1600,2400,2200,Bidar
BIDAR,20/03/2021,RED,AVERAGE,200,Quintal,1600,2300,2100,Bidar
BIDAR,22/03/2021,RED,AVERAGE,100,Quintal,1700,2600,2400,Bidar
BIDAR,23/03/2021,RED,AVERAGE,35,Quintal,1500,2700,2000,Bidar
BIDAR,25/03/2021,RED,AVERAGE,65,Quintal,1600,2800,2200,Bidar
BIDAR,26/03/2021,RED,AVERAGE,25,Quintal,1650,2800,2500,Bidar
BIDAR,27/03/2021,RED,AVERAGE,25,Quintal,1600,2700,2000,Bidar
BIDAR,01/04/2021,RED,AVERAGE,150,Quintal,1675,2700,2000,Bidar
BIDAR,03/04/2021,RED,AVERAGE,100,Quintal,1650,2700,2000,Bidar
BIDAR,05/04/2021,RED,AVERAGE,60,Quintal,1650,2700,2000,Bidar
BIDAR,06/04/2021,RED,AVERAGE,50,Quintal,1670,2700,2000,Bidar
BIDAR,07/04/2021,RED,AVERAGE,60,Quintal,1625,2700,2000,Bidar
BIDAR,08/04/2021,RED,AVERAGE,175,Quintal,1650,2400,2200,Bidar
BIDAR,09/04/2021,RED,AVERAGE,70,Quintal,1600,2700,2400,Bidar
BIDAR,10/04/2021,RED,AVERAGE,40,Quintal,1650,2700,2000,Bidar
BIDAR,15/04/2021,RED,AVERAGE,50,Quintal,1674,2700,2000,Bidar
BIDAR,16/04/2021,RED,AVERAGE,60,Quintal,1675,2700,2000,Bidar
BIDAR,17/04/2021,RED,AVERAGE,60,Quintal,1650,2700,2000,Bidar
BIDAR,19/04/2021,RED,AVERAGE,75,Quintal,1675,2700,2000,Bidar
BIDAR,20/04/2021,RED,AVERAGE,65,Quintal,1650,2700,2000,Bidar
BIDAR,22/04/2021,RED,AVERAGE,75,Quintal,1800,2700,2000,Bidar
BIDAR,23/04/2021,RED,AVERAGE,50,Quintal,1850,2700,2200,Bidar
BIDAR,04/05/2021,RED,AVERAGE,100,Quintal,1650,2600,2000,Bidar
BIDAR,05/05/2021,RED,AVERAGE,60,Quintal,1650,2600,2000,Bidar
BIDAR,06/05/2021,RED,AVERAGE,60,Quintal,1650,2600,2000,Bidar
BIDAR,07/05/2021,RED,AVERAGE,80,Quintal,1650,2600,2000,Bidar
BIDAR,25/05/2021,RED,AVERAGE,60,Quintal,1650,2700,2200,Bidar
BIDAR,26/05/2021,RED,AVERAGE,40,Quintal,1700,2600,2000,Bidar
BIDAR,27/05/2021,RED,AVERAGE,75,Quintal,1700,2700,2100,Bidar
BIDAR,28/05/2021,RED,AVERAGE,60,Quintal,1650,2700,2000,Bidar
BIDAR,29/05/2021,RED,AVERAGE,50,Quintal,1650,2600,2400,Bidar
BIDAR,31/05/2021,RED,AVERAGE,40,Quintal,1600,2700,2000,Bidar
BIDAR,01/06/2021,RED,AVERAGE,40,Quintal,1450,2600,2000,Bidar
BIDAR,02/06/2021,RED,AVERAGE,35,Quintal,1750,2600,2100,Bidar
BIDAR,03/06/2021,RED,AVERAGE,50,Quintal,1650,2600,2100,Bidar
BIDAR,04/06/2021,RED,AVERAGE,25,Quintal,1600,2600,2400,Bidar
BIDAR,05/06/2021,RED,AVERAGE,30,Quintal,1700,2600,2400,Bidar
BIDAR,07/06/2021,RED,AVERAGE,25,Quintal,1700,2600,2000,Bidar
BIDAR,08/06/2021,RED,AVERAGE,50,Quintal,1650,2700,2100,Bidar
BIDAR,09/06/2021,RED,AVERAGE,50,Quintal,1650,2700,2000,Bidar
BIDAR,11/06/2021,RED,AVERAGE,20,Quintal,1800,2700,2100,Bidar
BIDAR,12/06/2021,RED,AVERAGE,40,Quintal,1800,2700,2000,Bidar
BIDAR,14/06/2021,RED,AVERAGE,30,Quintal,1700,6500,2700,Bidar
BIDAR,15/06/2021,RED,AVERAGE,40,Quintal,2000,2700,2200,Bidar
BIDAR,16/06/2021,RED,AVERAGE,25,Quintal,1750,2650,2000,Bidar
BIDAR,17/06/2021,RED,AVERAGE,50,Quintal,1800,2700,2200,Bidar
BIDAR,18/06/2021,RED,AVERAGE,35,Quintal,2000,2700,2200,Bidar
BIDAR,21/06/2021,RED,AVERAGE,40,Quintal,1850,2700,2000,Bidar
BIDAR,22/06/2021,RED,AVERAGE,40,Quintal,2000,2700,2300,Bidar
