Market,Date,Variety,Grade,Arrivals,Unit,Min,Max,Modal,District
HUBBALLI,04/01/2021,JAWARI,AVERAGE,10,Quintal,1710,2820,2619,Dharwad
HUBBALLI,12/01/2021,JAWARI,AVERAGE,4,Quintal,2127,2452,2289,Dharwad
HUBBALLI,01/01/2021,LOCAL,MEDIUM,8,Quintal,970,1230,1095,Dharwad
HUBBALLI,07/01/2021,LOCAL,MEDIUM,30,Quintal,801,1200,1188,Dharwad
HUBBALLI,09/01/2021,LOCAL,AVERAGE,5,Quintal,2529,2619,2556,Dharwad
HUBBALLI,15/01/2021,LOCAL,AVERAGE,1,Quintal,1770,1770,1770,Dharwad
HUBBALLI,18/01/2021,LOCAL,AVERAGE,16,Quintal,1070,2652,1405,Dharwad
HUBBALLI,20/01/2021,LOCAL,AVERAGE,1,Quintal,2020,2020,2020,Dharwad
HUBBALLI,21/01/2021,LOCAL,AVERAGE,18,Quintal,840,2730,1703,Dharwad
HUBBALLI,23/01/2021,LOCAL,AVERAGE,10,Quintal,1410,2701,2409,Dharwad
HUBBALLI,25/01/2021,LOCAL,AVERAGE,14,Quintal,1123,1417,1210,Dharwad
HUBBALLI,27/01/2021,LOCAL,AVERAGE,1,Quintal,1899,1899,1899,Dharwad
HUBBALLI,28/01/2021,LOCAL,AVERAGE,23,Quintal,920,1886,1356,Dharwad
HUBBALLI,30/01/2021,LOCAL,AVERAGE,16,Quintal,1210,2510,1579,Dharwad
HUBBALLI,29/01/2021,WHITE,AVERAGE,2,Quintal,1840,1840,1840,Dharwad
HUBBALLI,04/02/2021,JAWARI,AVERAGE,18,Quintal,1010,2010,1600,Dharwad
HUBBALLI,01/02/2021,LOCAL,AVERAGE,3,Quintal,1009,2609,1369,Dharwad
HUBBALLI,02/02/2021,LOCAL,MEDIUM,17,Quintal,920,1709,1156,Dharwad
HUBBALLI,03/02/2021,LOCAL,MEDIUM,1,Quintal,1350,1350,1350,Dharwad
HUBBALLI,06/02/2021,LOCAL,AVERAGE,13,Quintal,509,2416,2004,Dharwad
HUBBALLI,08/02/2021,LOCAL,AVERAGE,4,Quintal,1569,2010,1896,Dharwad
HUBBALLI,12/02/2021,LOCAL,MEDIUM,27,Quintal,810,2110,1510,Dharwad
HUBBALLI,13/02/2021,LOCAL,AVERAGE,8,Quintal,1009,1919,1165,Dharwad
HUBBALLI,22/02/2021,LOCAL,AVERAGE,6,Quintal,809,1109,1009,Dharwad
HUBBALLI,27/02/2021,LOCAL,MEDIUM,3,Quintal,1209,1209,1209,Dharwad
HUBBALLI,10/02/2021,MEDIUM,AVERAGE,2,Quintal,809,809,809,Dharwad
HUBBALLI,15/02/2021,MEDIUM,AVERAGE,8,Quintal,810,1510,982,Dharwad
HUBBALLI,16/02/2021,MEDIUM,AVERAGE,5,Quintal,709,1401,1055,Dharwad
HUBBALLI,17/02/2021,MEDIUM,AVERAGE,2,Quintal,1000,1000,1000,Dharwad
HUBBALLI,18/02/2021,MEDIUM,AVERAGE,9,Quintal,709,1009,828,Dharwad
HUBBALLI,26/02/2021,MEDIUM,AVERAGE,1,Quintal,809,809,809,Dharwad
HUBBALLI,01/03/2021,LOCAL,MEDIUM,3,Quintal,810,1170,810,Dharwad
HUBBALLI,06/03/2021,LOCAL,AVERAGE,10,Quintal,909,2240,1410,Dharwad
HUBBALLI,09/03/2021,LOCAL,MEDIUM,15,Quintal,940,940,940,Dharwad
HUBBALLI,13/03/2021,LOCAL,AVERAGE,16,Quintal,870,2520,1091,Dharwad
HUBBALLI,16/03/2021,LOCAL,MEDIUM,5,Quintal,820,820,820,Dharwad
HUBBALLI,18/03/2021,LOCAL,MEDIUM,15,Quintal,720,740,728,Dharwad
HUBBALLI,20/03/2021,LOCAL,MEDIUM,8,Quintal,610,1110,929,Dharwad
HUBBALLI,22/03/2021,LOCAL,MEDIUM,13,Quintal,870,1010,913,Dharwad
HUBBALLI,23/03/2021,LOCAL,MEDIUM,9,Quintal,910,1500,1465,Dharwad
HUBBALLI,24/03/2021,LOCAL,MEDIUM,5,Quintal,1209,1209,1209,Dharwad
HUBBALLI,25/03/2021,LOCAL,MEDIUM,17,Quintal,809,1676,1331,Dharwad
HUBBALLI,26/03/2021,LOCAL,MEDIUM,5,Quintal,941,941,941,Dharwad
HUBBALLI,27/03/2021,LOCAL,AVERAGE,19,Quintal,809,3760,1229,Dharwad
HUBBALLI,29/03/2021,LOCAL,MEDIUM,15,Quintal,960,1010,990,Dharwad
HUBBALLI,30/03/2021,LOCAL,MEDIUM,8,Quintal,1050,1050,1050,Dharwad
HUBBALLI,07/04/2021,JAWARI,AVERAGE,6,Quintal,2270,2690,2437,Dharwad
HUBBALLI,10/04/2021,JAWARI,AVERAGE,34,Quintal,1070,2670,1685,Dharwad
HUBBALLI,15/04/2021,JAWARI,AVERAGE,36,Quintal,1809,4110,2109,Dharwad
HUBBALLI,19/04/2021,JAWARI,AVERAGE,21,Quintal,910,4149,2269,Dharwad
HUBBALLI,20/04/2021,JAWARI,AVERAGE,14,Quintal,1800,4019,2769,Dharwad
HUBBALLI,22/04/2021,JAWARI,AVERAGE,52,Quintal,1350,2910,2203,Dharwad
HUBBALLI,26/04/2021,JAWARI,AVERAGE,2,Quintal,3019,3019,3019,Dharwad
HUBBALLI,27/04/2021,JAWARI,AVERAGE,32,Quintal,1409,3170,2150,Dharwad
HUBBALLI,30/04/2021,JAWARI,AVERAGE,19,Quintal,2400,3770,3169,Dharwad
HUBBALLI,03/04/2021,LOCAL,AVERAGE,20,Quintal,1210,2010,1510,Dharwad
HUBBALLI,05/04/2021,LOCAL,AVERAGE,12,Quintal,1209,1812,1209,Dharwad
HUBBALLI,23/04/2021,LOCAL,AVERAGE,20,Quintal,810,3509,2056,Dharwad
HUBBALLI,06/04/2021,WHITE,AVERAGE,13,Quintal,1510,2669,1510,Dharwad
HUBBALLI,17/04/2021,WHITE,AVERAGE,14,Quintal,1809,4109,2110,Dharwad
HUBBALLI,21/04/2021,WHITE,AVERAGE,4,Quintal,1770,3240,2820,Dharwad
HUBBALLI,05/05/2021,LOCAL,MEDIUM,10,Quintal,909,909,909,Dharwad
HUBBALLI,08/05/2021,LOCAL,MEDIUM,10,Quintal,910,910,910,Dharwad
HUBBALLI,15/05/2021,LOCAL,AVERAGE,1,Quintal,1610,1610,1610,Dharwad
HUBBALLI,18/05/2021,LOCAL,MEDIUM,3,Quintal,1310,1310,1310,Dharwad
HUBBALLI,03/05/2021,WHITE,AVERAGE,3,Quintal,3012,3012,3012,Dharwad
HUBBALLI,18/06/2021,JAWARI,AVERAGE,19,Quintal,1210,3100,1639,Dharwad
HUBBALLI,21/06/2021,JAWARI,AVERAGE,12,Quintal,1310,3369,1650,Dharwad
HUBBALLI,26/06/2021,JAWARI,AVERAGE,12,Quintal,1420,3101,2224,Dharwad
HUBBALLI,28/06/2021,JAWARI,AVERAGE,26,Quintal,1170,3111,1636,Dharwad
HUBBALLI,09/06/2021,LOCAL,MEDIUM,4,Quintal,1109,1609,1172,Dharwad
HUBBALLI,11/06/2021,LOCAL,AVERAGE,3,Quintal,1809,2009,1942,Dharwad
HUBBALLI,17/06/2021,LOCAL,AVERAGE,4,Quintal,1550,1550,1550,Dharwad
HUBBALLI,22/06/2021,LOCAL,AVERAGE,3,Quintal,1070,1070,1070,Dharwad
HUBBALLI,24/06/2021,LOCAL,AVERAGE,7,Quintal,1009,1370,1250,Dharwad
HUBBALLI,30/06/2021,LOCAL,MEDIUM,5,Quintal,1380,1520,1408,Dharwad
HUBBALLI,16/06/2021,WHITE,AVERAGE,3,Quintal,3242,3242,3242,Dharwad
HUBBALLI,19/06/2021,WHITE,AVERAGE,4,Quintal,3290,3290,3290,Dharwad
HUBBALLI,23/06/2021,WHITE,AVERAGE,2,Quintal,1709,1709,1709,Dharwad
HUBBALLI,29/06/2021,WHITE,AVERAGE,27,Quintal,1110,2650,1768,Dharwad
HUBBALLI,05/07/2021,JAWARI,AVERAGE,20,Quintal,1210,3210,2124,Dharwad
HUBBALLI,17/07/2021,JAWARI,AVERAGE,11,Quintal,1639,3270,2346,Dharwad
HUBBALLI,19/07/2021,JAWARI,AVERAGE,9,Quintal,1736,2016,1847,Dharwad
HUBBALLI,26/07/2021,JAWARI,AVERAGE,45,Quintal,1201,2567,1810,Dharwad
HUBBALLI,31/07/2021,JAWARI,AVERAGE,15,Quintal,1402,1876,1650,Dharwad
HUBBALLI,01/07/2021,LOCAL,AVERAGE,18,Quintal,1100,1720,1401,Dharwad
HUBBALLI,03/07/2021,LOCAL,AVERAGE,4,Quintal,1370,1670,1517,Dharwad
HUBBALLI,07/07/2021,LOCAL,AVERAGE,4,Quintal,1656,1776,1656,Dharwad
HUBBALLI,10/07/2021,LOCAL,MEDIUM,8,Quintal,1210,1656,1510,Dharwad
HUBBALLI,12/07/2021,LOCAL,MEDIUM,8,Quintal,1440,1746,1504,Dharwad
HUBBALLI,13/07/2021,LOCAL,AVERAGE,2,Quintal,1520,1520,1520,Dharwad
HUBBALLI,14/07/2021,LOCAL,MEDIUM,8,Quintal,1350,1380,1357,Dharwad
HUBBALLI,15/07/2021,LOCAL,AVERAGE,11,Quintal,1070,1800,1296,Dharwad
HUBBALLI,20/07/2021,LOCAL,MEDIUM,10,Quintal,1410,1509,1410,Dharwad
HUBBALLI,24/07/2021,LOCAL,MEDIUM,8,Quintal,869,1217,1141,Dharwad
HUBBALLI,29/07/2021,LOCAL,AVERAGE,3,Quintal,1656,1656,1656,Dharwad
HUBBALLI,06/07/2021,WHITE,AVERAGE,25,Quintal,1109,2119,1470,Dharwad
HUBBALLI,08/07/2021,WHITE,AVERAGE,27,Quintal,1371,3321,1656,Dharwad
HUBBALLI,27/07/2021,WHITE,AVERAGE,9,Quintal,1159,3330,1553,Dharwad
HUBBALLI,07/08/2021,JAWARI,AVERAGE,12,Quintal,1380,2519,1601,Dharwad
HUBBALLI,21/08/2021,JAWARI,AVERAGE,3,Quintal,1510,3770,2263,Dharwad
HUBBALLI,05/08/2021,LOCAL,MEDIUM,11,Quintal,1170,1516,1398,Dharwad
HUBBALLI,09/08/2021,LOCAL,MEDIUM,23,Quintal,1110,1440,1294,Dharwad
HUBBALLI,10/08/2021,LOCAL,MEDIUM,9,Quintal,1210,1440,1433,Dharwad
HUBBALLI,12/08/2021,LOCAL,AVERAGE,1,Quintal,1430,1430,1430,Dharwad
HUBBALLI,14/08/2021,LOCAL,AVERAGE,15,Quintal,970,2001,1410,Dharwad
HUBBALLI,16/08/2021,LOCAL,MEDIUM,18,Quintal,870,1600,1254,Dharwad
HUBBALLI,17/08/2021,LOCAL,MEDIUM,5,Quintal,1010,1010,1010,Dharwad
HUBBALLI,23/08/2021,LOCAL,MEDIUM,9,Quintal,1110,1510,1319,Dharwad
HUBBALLI,24/08/2021,LOCAL,MEDIUM,5,Quintal,1231,1400,1317,Dharwad
HUBBALLI,25/08/2021,LOCAL,MEDIUM,3,Quintal,1410,1410,1410,Dharwad
HUBBALLI,26/08/2021,LOCAL,MEDIUM,1,Quintal,1409,1409,1409,Dharwad
HUBBALLI,28/08/2021,LOCAL,AVERAGE,10,Quintal,1374,2270,1410,Dharwad
HUBBALLI,30/08/2021,LOCAL,MEDIUM,5,Quintal,710,1510,990,Dharwad
HUBBALLI,31/08/2021,LOCAL,MEDIUM,17,Quintal,1009,1400,1209,Dharwad
HUBBALLI,01/09/2021,LOCAL,MEDIUM,5,Quintal,1129,1309,1269,Dharwad
HUBBALLI,02/09/2021,LOCAL,MEDIUM,13,Quintal,709,1209,772,Dharwad
HUBBALLI,07/09/2021,LOCAL,MEDIUM,17,Quintal,1109,1410,1339,Dharwad
