Market,Date,Variety,Grade,Arrivals,Unit,Min,Max,Modal,District
SHIVAMOGGA,01/01/2021,MEDIUM,AVERAGE,15,Quintal,2600,2950,2775,Shivamogga
SHIVAMOGGA,02/01/2021,MEDIUM,AVERAGE,7,Quintal,2600,2950,2775,Shivamogga
SHIVAMOGGA,04/01/2021,MEDIUM,AVERAGE,94,Quintal,2600,2950,2775,Shivamogga
SHIVAMOGGA,05/01/2021,MEDIUM,AVERAGE,7,Quintal,2600,2950,2775,Shivamogga
SHIVAMOGGA,06/01/2021,MEDIUM,AVERAGE,5,Quintal,2600,2950,2775,Shivamogga
SHIVAMOGGA,07/01/2021,MEDIUM,AVERAGE,4,Quintal,2600,2950,2775,Shivamogga
SHIVAMOGGA,08/01/2021,MEDIUM,AVERAGE,2,Quintal,2600,2950,2775,Shivamogga
SHIVAMOGGA,11/01/2021,MEDIUM,AVERAGE,3,Quintal,2800,3000,2900,Shivamogga
SHIVAMOGGA,12/01/2021,MEDIUM,AVERAGE,14,Quintal,2800,3000,2900,Shivamogga
SHIVAMOGGA,13/01/2021,MEDIUM,AVERAGE,8,Quintal,2800,3000,2900,Shivamogga
SHIVAMOGGA,15/01/2021,MEDIUM,AVERAGE,2,Quintal,2800,3000,2900,Shivamogga
SHIVAMOGGA,16/01/2021,MEDIUM,AVERAGE,4,Quintal,2800,3000,2900,Shivamogga
SHIVAMOGGA,18/01/2021,MEDIUM,AVERAGE,263,Quintal,2800,3000,2900,Shivamogga
SHIVAMOGGA,19/01/2021,MEDIUM,AVERAGE,6,Quintal,2800,3000,2900,Shivamogga
SHIVAMOGGA,20/01/2021,MEDIUM,AVERAGE,4,Quintal,2800,3000,2900,Shivamogga
SHIVAMOGGA,21/01/2021,MEDIUM,AVERAGE,6,Quintal,2800,3000,2900,Shivamogga
SHIVAMOGGA,22/01/2021,MEDIUM,AVERAGE,5,Quintal,2800,3000,2900,Shivamogga
SHIVAMOGGA,25/01/2021,MEDIUM,AVERAGE,7,Quintal,2800,3000,2900,Shivamogga
SHIVAMOGGA,27/01/2021,MEDIUM,AVERAGE,2,Quintal,2800,3000,2900,Shivamogga
SHIVAMOGGA,28/01/2021,MEDIUM,AVERAGE,5,Quintal,2800,3000,2922,Shivamogga
SHIVAMOGGA,29/01/2021,MEDIUM,AVERAGE,3,Quintal,2800,3000,2900,Shivamogga
